today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG, acc_filt, gyr_filt, com_filt, kpe(P)=0.05, kiei(I)=0, kded(D)=0,signal, mad_pitch
Sun Feb 11 11:26:31 2018,8174811,0,1513,1513,1088,1509,1940,1514,-0.0469513,0.0704193,0.9,-1.40845,0.5,-1.19209e-07,5024,4150,1220,0,8,32,0.162806,-0.402226,-10.3956,0.0042569,0.00212845,-0.00106422,26.1006,33.1266,46.4273,0.897236,0.285869,0.000846771,0.273453,0.274299,1.27462e+32,0,0,0.0704193,0,
Sun Feb 11 11:26:31 2018,8184812,979.515,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,4962,4132,1218,0,32,32,0.124498,-0.402226,-10.319,0.00851379,0.00532112,-0.0042569,26.1006,33.1266,46.4273,0.691239,0.571434,0.00396429,0.522342,0.526307,2.01292,-0,-0,0.0704193,-40.1881,
Sun Feb 11 11:26:31 2018,8194815,979.515,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,4962,4132,1218,0,32,32,0.110133,-0.402226,-10.3765,0.0117065,0.00638535,-0.00212845,26.1006,33.1266,46.4273,0.608101,0.857608,0.00952729,0.748692,0.75822,1.99041,-0,-0,0.0704193,-39.7378,
Sun Feb 11 11:26:31 2018,8204816,979.515,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,5000,4150,1218,0,8,32,0.143652,-0.445322,-10.3477,0.0127707,0.00744957,0.00106422,26.1006,33.1266,46.4273,0.795356,1.14378,0.0171323,0.95298,0.970113,1.96568,-0,-0,0.0704193,-39.2432,
Sun Feb 11 11:26:31 2018,8214817,979.515,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,5000,4150,1218,0,8,32,0.0861913,-0.45011,-10.1754,0.00851379,0.0106422,0.00744957,26.1006,33.1266,46.4273,0.485318,1.42935,0.0265596,1.13573,1.16229,1.94232,-0,-0,0.0704193,-38.7759,
Sun Feb 11 11:26:31 2018,8224818,979.515,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,4996,4134,1218,0,8,32,0.0766145,-0.392649,-10.1849,0.00851379,0.0106422,0.0117065,26.1006,33.1266,46.4273,0.43099,1.71583,0.0371588,1.29953,1.33669,1.91893,-0,-0,0.0704193,-38.3081,
Sun Feb 11 11:26:31 2018,8234819,981.296,1513,1513,1088,1513,1940,1514,-0.0469513,0.0704193,0.9,-0.281677,0.5,-1.19209e-07,4996,4134,1218,0,8,32,0.114922,-0.435745,-10.3621,0.0127707,0.0148991,0.00851379,26.1006,33.1266,46.4273,0.635418,2.00109,0.0485882,1.44334,1.49193,1.89554,-0,-0,0.0704193,-37.8405,
Sun Feb 11 11:26:31 2018,8244820,981.296,1513,1513,1088,1513,1940,1514,-0.0469513,0.0704193,0.9,-0.281677,0.5,-1.19209e-07,5016,4150,1220,0,32,14,0.0143652,-0.488417,-10.1945,0.00106422,0.0138349,0.00532112,27.1377,33.8203,47.093,0.0807362,2.28787,0.0605452,1.57094,1.63148,1.8722,-0,-0,0.0704193,-37.3736,
Sun Feb 11 11:26:31 2018,8254821,981.296,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,5016,4150,1220,0,32,14,0.0957681,-0.440533,-10.1849,0,0.0159634,0.00532112,27.1377,33.8203,47.093,0.538732,2.57374,0.072518,1.68089,1.75341,1.84875,-0,-0,0.0704193,-36.9047,
Sun Feb 11 11:26:31 2018,8264822,981.296,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,5008,4142,1218,0,30,12,0,-0.445322,-10.3621,-0.00532112,0.0180918,0.00744957,27.1377,33.8203,47.093,0,2.85961,0.0842926,1.77515,1.85944,1.82535,-0,-0,0.0704193,-36.4366,
