today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG, acc_filt, gyr_filt, com_filt, kpe(P), kiei(I), kded(D)
Thu Sep 26 00:26:54 2019,11426141,0,1513,1511,1088,1513,1088,1514,-0.0469513,-0.140846,0.9,-0.281677,-0.5,-1.19209e-07,5400,5560,1238,0,30,30,-0.842759,-0.0909797,-9.53371,0.00744957,-0.0212845,0.019156,-15.8531,34.6043,32.6689,-5.05169,0.292577,-0.00476756,0.279869,0.275101,0,0,0,
Thu Sep 26 00:26:54 2019,11436142,1085.51,1513,1511,1088,1513,1088,1514,-0.0469513,-0.140846,0.9,-0.281677,-0.5,-1.19209e-07,5400,5560,1238,0,30,30,-0.871489,-0.0430956,-9.38048,0.0127707,-0.0212845,0.0234129,-15.8531,34.6043,32.6689,-5.30781,0.579056,-0.0236564,0.529064,0.505407,0.000241345,0,0,
Thu Sep 26 00:26:54 2019,11446145,1085.51,1513,1511,1088,1513,1088,1514,-0.0469513,-0.140846,0.9,-0.281677,-0.5,-1.19209e-07,5382,5548,1234,0,8,30,-0.876278,-0.114922,-9.47146,0.00212845,-0.0297983,0.0148991,-15.8531,34.6043,32.6689,-5.28583,0.867974,-0.0606252,0.757418,0.696792,0.000239079,-0,-0,
Thu Sep 26 00:26:54 2019,11456146,1085.51,1513,1511,1088,1513,1088,1514,-0.0469513,-0.140846,0.9,-0.281677,-0.5,-1.19209e-07,5382,5548,1234,0,8,30,-0.861913,-0.114922,-9.55765,-0.00744957,-0.0244772,0.0266056,-15.8531,34.6043,32.6689,-5.15302,1.15293,-0.114073,0.959715,0.845642,0.000236666,-0,-0,
Thu Sep 26 00:26:54 2019,11466147,1085.51,1513,1511,1088,1513,1088,1514,-0.0469513,-0.140846,0.9,-0.281677,-0.5,-1.19209e-07,5412,5558,1234,0,6,28,-0.871489,-0.047884,-9.51935,-0.0180918,-0.0319267,0.019156,-15.8531,34.6043,32.6689,-5.23081,1.44154,-0.1822,1.1447,0.962497,0.000234347,-0,-0,
Thu Sep 26 00:26:54 2019,11476148,1085.51,1513,1511,1088,1513,1088,1514,-0.0469513,-0.140846,0.9,-0.281677,-0.5,-1.19209e-07,5412,5558,1234,0,6,28,-0.861913,0.0574608,-9.55287,-0.0202203,-0.0351194,0.0159634,-15.8531,34.6043,32.6689,-5.15559,1.72894,-0.263451,1.30847,1.04502,0.000232068,-0,-0,
Thu Sep 26 00:26:54 2019,11486149,1086.84,1513,1511,1088,1513,1088,1514,-0.0469513,-0.140846,0.9,-0.281677,-0.5,-1.19209e-07,5382,5536,1234,0,6,28,-0.852336,0.0287304,-9.69173,-0.00744957,-0.0372479,0.0138349,-16.0312,35.1422,33.8789,-5.02593,2.01602,-0.356214,1.4531,1.09688,0.0002298,-0,-0,
Thu Sep 26 00:26:54 2019,11496150,1086.84,1513,1511,1088,1513,1088,1514,-0.0469513,-0.140846,0.9,-0.281677,-0.5,-1.19209e-07,5382,5536,1234,0,6,28,-0.885855,0.0814029,-9.68694,0.0042569,-0.0383121,0.0127707,-16.0312,35.1422,33.8789,-5.22508,2.30281,-0.459032,1.57965,1.12062,0.000227547,-0,-0,
Thu Sep 26 00:26:54 2019,11506151,1086.84,1513,1511,1088,1513,1088,1514,-0.0469513,-0.140846,0.9,-0.281677,-0.5,-1.19209e-07,5384,5536,1234,0,30,14,-0.814029,-0.0430956,-9.64863,0.0148991,-0.0383121,0.0127707,-16.0312,35.1422,33.8789,-4.82247,2.58929,-0.570536,1.6892,1.11866,0.000225315,-0,-0,
Thu Sep 26 00:26:54 2019,11516152,1086.84,1513,1511,1088,1513,1088,1514,-0.0469513,-0.140846,0.9,-0.281677,-0.5,-1.19209e-07,5384,5536,1234,0,30,14,-0.770933,-0.0670376,-9.56244,0.0202203,-0.0351194,0.0138349,-16.0312,35.1422,33.8789,-4.60927,2.87485,-0.688794,1.78219,1.09339,0.000223092,-0,-0,
