today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG, acc_filt, gyr_filt, com_filt, kpe(P), kiei(I), kded(D)
Thu Sep 26 00:33:39 2019,31631585,1085.64,1513,1510,1088,1513,1088,1940,-0.0469513,-0.187798,0.9,-0.281677,-0.5,0.5,5396,5550,1234,0,8,28,0.794875,-0.023942,-9.57681,0.0159634,-0.0457616,0.00106422,-24.9375,32.9906,29.0391,4.74468,418.559,51.1288,-0.94609,50.1827,-0.000172733,0,0,
Thu Sep 26 00:33:39 2019,31641586,1086.44,1513,1510,1088,1513,1088,1940,-0.0469513,-0.187798,0.9,-0.281677,-0.5,0.5,5396,5550,1234,0,8,28,0.785298,-0.100556,-9.54808,0.0170276,-0.0510828,0.00106422,-24.9375,32.9906,29.0391,4.70181,418.847,50.6021,-0.896026,49.7061,0.000167314,0,0,
Thu Sep 26 00:33:39 2019,31651589,1086.44,1513,1510,1088,1513,1088,1940,-0.0469513,-0.187798,0.9,-0.281677,-0.5,0.5,5392,5554,1234,0,8,28,0.861913,-0.138864,-9.70131,0.0159634,-0.0489543,0.00638535,-24.9375,32.9906,29.0391,5.07712,419.133,49.9473,-0.848879,49.0984,0.000165132,-0,-0,
Thu Sep 26 00:33:39 2019,31661590,1086.44,1513,1510,1088,1513,1088,1940,-0.0469513,-0.187798,0.9,-0.281677,-0.5,0.5,5392,5554,1234,0,8,28,0.818817,-0.21069,-9.63906,0.0138349,-0.0478901,0.0117065,-24.9375,32.9906,29.0391,4.8555,419.419,49.1782,-0.802229,48.376,0.000161731,-0,-0,
Thu Sep 26 00:33:39 2019,31671591,1086.44,1513,1510,1088,1513,1088,1940,-0.0469513,-0.187798,0.9,-0.281677,-0.5,0.5,5388,5536,1234,0,6,28,0.699107,-0.172383,-9.54808,0.00851379,-0.0478901,0.019156,-24.9375,32.9906,29.0391,4.18771,419.706,48.3068,-0.75624,47.5505,0.000158486,-0,-0,
Thu Sep 26 00:33:39 2019,31681592,1086.44,1513,1510,1088,1513,1088,1940,-0.0469513,-0.187798,0.9,-0.281677,-0.5,0.5,5388,5536,1234,0,6,28,0.617704,-0.143652,-9.64384,0.00532112,-0.0404405,0.0319267,-24.9375,32.9906,29.0391,3.66489,419.99,47.3429,-0.71335,46.6296,0.000155341,-0,-0,
Thu Sep 26 00:33:39 2019,31691593,1088.34,1513,1510,1088,1513,1088,1940,-0.0469513,-0.187798,0.9,-0.281677,-0.5,0.5,5354,5538,1234,0,8,28,0.627281,-0.0814029,-9.663,-0.00106422,-0.0383121,0.0308625,-24.9375,32.9906,29.0391,3.71419,420.276,46.2967,-0.669916,45.6267,0.000152251,-0,-0,
Thu Sep 26 00:33:39 2019,31701594,1088.34,1513,1510,1088,1513,1088,1940,-0.0469513,-0.187798,0.9,-0.281677,-0.5,0.5,5354,5538,1234,0,8,28,0.550666,-0.114922,-9.61033,0,-0.0393763,0.0266056,-24.9375,32.9906,29.0391,3.27943,420.563,45.1781,-0.626821,44.5513,0.000149217,-0,-0,
Thu Sep 26 00:33:39 2019,31711595,1088.34,1513,1510,1088,1513,1088,1940,-0.0469513,-0.187798,0.9,-0.281677,-0.5,0.5,5388,5548,1234,0,8,28,0.474052,-0.100556,-9.63906,-0.00212845,-0.0351194,0.019156,-24.9375,32.9906,29.0391,2.81556,420.848,43.9964,-0.586456,43.41,0.000146289,-0,-0,
Thu Sep 26 00:33:39 2019,31721596,1088.34,1513,1510,1088,1513,1088,1940,-0.0469513,-0.187798,0.9,-0.281677,-0.5,0.5,5388,5548,1234,0,8,28,0.464475,-0.105345,-9.73004,0.00319267,-0.0297983,0.0138349,-24.9375,32.9906,29.0391,2.73301,421.133,42.76,-0.547582,42.2125,0.000143426,-0,-0,
Thu Sep 26 00:33:39 2019,31731597,1087.57,1513,1510,1088,1513,1088,1940,-0.0469513,-0.187798,0.9,-0.281677,-0.5,0.5,5392,5546,1234,0,30,28,0.469264,-0.134075,-9.61511,0.0170276,-0.0287341,0.00532112,-24.9375,32.9906,29.0391,2.79409,421.419,41.4778,-0.508785,40.969,0.000140608,-0,-0,
Thu Sep 26 00:33:39 2019,31741598,1087.57,1513,1510,1088,1513,1088,1940,-0.0469513,-0.187798,0.9,-0.281677,-0.5,0.5,5392,5546,1234,0,30,28,0.723049,-0.100556,-9.59596,0.0170276,-0.0180918,-0.00744957,-24.9375,32.9906,29.0391,4.30906,421.703,40.1598,-0.474019,39.6858,0.000137796,-0,-0,
Thu Sep 26 00:33:39 2019,31751599,1087.57,1513,1510,1088,1513,1088,1940,-0.0469513,-0.187798,0.9,-0.281677,-0.5,0.5,5382,5540,1232,0,6,28,0.646434,-0.11971,-9.72046,0.0180918,-0.0202203,-0.00957802,-24.9375,32.9906,29.0391,3.80471,421.99,38.8166,-0.436879,38.3797,0.000134804,-0,-0,
Thu Sep 26 00:33:39 2019,31761600,1087.57,1513,1510,1088,1513,1088,1940,-0.0469513,-0.187798,0.9,-0.281677,-0.5,0.5,5382,5540,1232,0,6,28,0.871489,-0.469264,-10.2185,0.0223487,-0.0170276,-0.00106422,-24.9375,32.9906,29.0391,4.87473,422.275,37.4569,-0.402741,37.0541,0.0001318,-0,-0,
Thu Sep 26 00:33:39 2019,31771601,1087.57,1513,1510,1088,1513,1088,1940,-0.0469513,-0.187798,0.9,-0.281677,-0.5,0.5,5370,5546,1202,0,30,12,0.584185,0.0143652,-9.45231,-0.0042569,-0.0138349,-0.019156,-24.9375,32.9906,29.0391,3.53658,422.561,36.0874,-0.369953,35.7175,0.000128743,-0,-0,
Thu Sep 26 00:33:39 2019,31781602,1087.57,1513,1510,1088,1513,1088,1940,-0.0469513,-0.187798,0.9,-0.281677,-0.5,0.5,5370,5546,1202,0,30,12,0.296881,0.196325,-9.27993,0.0106422,-0.0170276,-0.0468259,-24.9375,32.9906,29.0391,1.83237,422.848,34.7111,-0.336816,34.3743,0.000125715,-0,-0,
Thu Sep 26 00:33:39 2019,31791603,1087.67,1513,1510,1088,1513,1088,1940,-0.0469513,-0.187798,0.9,-0.281677,-0.5,0.5,5380,5588,1210,4,30,12,0.627281,-0.172383,-9.73961,0.0436332,-0.0266056,-0.00106422,-24.9375,32.9906,29.0391,3.68505,423.137,33.331,-0.303483,33.0276,0.000123099,-0,-0,
Thu Sep 26 00:33:39 2019,31801604,1087.67,1513,1510,1088,1513,1088,1940,-0.0469513,-0.187798,0.9,-0.281677,-0.5,0.5,5380,5588,1210,4,30,12,0.871489,-0.0814029,-9.51456,0.00851379,-0.0500185,0.0117065,-24.9375,32.9906,29.0391,5.23343,423.43,31.956,-0.268023,31.688,0.000120179,-0,-0,
Thu Sep 26 00:33:39 2019,31811605,1087.67,1513,1510,1088,1513,1088,1940,-0.0469513,-0.187798,0.9,-0.281677,-0.5,0.5,5362,5538,1210,0,8,30,0.962469,0.0574608,-9.27514,-0.00319267,-0.0595966,0.0319267,-24.9375,32.9906,29.0391,5.92431,423.72,30.5962,-0.23838,30.3578,0.000117086,-0,-0,
Thu Sep 26 00:33:39 2019,31821606,1087.67,1513,1510,1088,1513,1088,1940,-0.0469513,-0.187798,0.9,-0.281677,-0.5,0.5,5362,5538,1210,0,8,30,0.905008,-0.0814029,-9.88326,0.0287341,-0.0649177,0.0457616,-24.9375,32.9906,29.0391,5.23197,424.008,29.2574,-0.211515,29.0459,0.000114196,-0,-0,
Thu Sep 26 00:33:39 2019,31831607,1087.55,1513,1510,1088,1513,1088,1940,-0.0469513,-0.187798,0.9,-0.281677,-0.5,0.5,5390,5546,1220,0,6,28,0.823605,-0.0574608,-10.1323,0.0223487,-0.0649177,0.042569,-24.9375,32.9906,29.0391,4.6471,424.294,27.9419,-0.187569,27.7543,0.0001114,-0,-0,
Thu Sep 26 00:33:39 2019,31841608,1087.55,1513,1510,1088,1513,1088,1940,-0.0469513,-0.187798,0.9,-0.281677,-0.5,0.5,5390,5546,1220,0,6,28,0.837971,-0.134075,-9.67736,0.0436332,-0.0851379,0.0542754,-24.9375,32.9906,29.0391,4.94895,424.586,26.651,-0.159427,26.4916,0.000108874,-0,-0,
Thu Sep 26 00:33:39 2019,31851609,1087.55,1513,1510,1088,1513,1088,1940,-0.0469513,-0.187798,0.9,-0.281677,-0.5,0.5,5384,5526,1218,2,30,10,0.641646,-0.023942,-9.86411,0.0351194,-0.113872,0.0564039,-24.9375,32.9906,29.0391,3.72177,424.881,25.3865,-0.130755,25.2558,0.000106519,-0,-0,
Thu Sep 26 00:33:39 2019,31861610,1087.55,1513,1510,1088,1513,1088,1940,-0.0469513,-0.187798,0.9,-0.281677,-0.5,0.5,5384,5526,1218,2,30,10,0,-0.325611,-9.71088,0.0383121,-0.0957802,0.0383121,-24.9375,32.9906,29.0391,0,425.162,24.1453,-0.116812,24.0285,0.000104324,-0,-0,
Thu Sep 26 00:33:39 2019,31871611,1087.55,1513,1510,1088,1513,1088,1940,-0.0469513,-0.187798,0.9,-0.281677,-0.5,0.5,5384,5548,1214,0,8,28,0.363919,-0.560243,-9.9934,0.0276698,-0.0883306,0.0202203,-24.9375,32.9906,29.0391,2.08556,425.447,22.9239,-0.100746,22.8232,0.00010273,-0,-0,
Thu Sep 26 00:33:39 2019,31881612,1087.55,1513,1510,1088,1513,1088,1940,-0.0469513,-0.187798,0.9,-0.281677,-0.5,0.5,5384,5548,1214,0,8,28,0.737414,-0.373495,-9.26556,-0.0212845,-0.121322,-0.0127707,-24.9375,32.9906,29.0391,4.55039,425.743,21.728,-0.0745554,21.6535,0.000101172,-0,-0,
Thu Sep 26 00:33:39 2019,31891613,1086.62,1513,1510,1088,1513,1088,1940,-0.0469513,-0.187798,0.9,-0.281677,-0.5,0.5,5346,5546,1214,0,8,28,0.430956,0.339977,-9.15064,0.0127707,-0.147927,-0.0393763,-24.9375,32.9906,29.0391,2.6964,426.037,20.5648,-0.0520794,20.5128,9.91166e-05,-0,-0,
Thu Sep 26 00:33:39 2019,31901614,1086.62,1513,1510,1088,1513,1088,1940,-0.0469513,-0.187798,0.9,-0.281677,-0.5,0.5,5346,5546,1214,0,8,28,0.373495,-0.665588,-9.55765,0.0446974,-0.124514,-0.0234129,-24.9375,32.9906,29.0391,2.23788,426.317,19.4344,-0.0449889,19.3894,9.7291e-05,-0,-0,
Thu Sep 26 00:33:39 2019,31911615,1086.62,1513,1510,1088,1513,1088,1940,-0.0469513,-0.187798,0.9,-0.281677,-0.5,0.5,5374,5570,1216,0,8,26,0.957681,-0.699107,-9.89284,-0.0404405,-0.133028,0.00319267,-24.9375,32.9906,29.0391,5.52932,426.605,18.3386,-0.029603,18.309,9.57172e-05,-0,-0,
Thu Sep 26 00:33:39 2019,31921616,1086.62,1513,1510,1088,1513,1088,1940,-0.0469513,-0.187798,0.9,-0.281677,-0.5,0.5,5374,5570,1216,0,8,26,0.948104,0.272939,-10.0317,-0.0595966,-0.167083,0.00212845,-24.9375,32.9906,29.0391,5.39903,426.902,17.2844,-0.00842443,17.2759,9.36996e-05,-0,-0,
Thu Sep 26 00:33:39 2019,31931617,1086.78,1513,1510,1088,1513,1088,1940,-0.0469513,-0.187798,0.9,-0.281677,-0.5,0.5,5384,5568,1212,2,28,28,0.727837,0.0526724,-9.36612,0.00957802,-0.15112,-0.0148991,-24.9375,32.9906,29.0391,4.44351,427.184,16.2741,-0.00271625,16.2714,9.16904e-05,-0,-0,
Thu Sep 26 00:33:39 2019,31941618,1086.78,1513,1510,1088,1513,1088,1940,-0.0469513,-0.187798,0.9,-0.281677,-0.5,0.5,5384,5568,1212,2,28,28,1.74298,-0.454898,-9.94073,0.00744957,-0.156441,0.0297983,-24.9375,32.9906,29.0391,9.945,427.472,15.3111,0.00834595,15.3194,9.01213e-05,-0,-0,
Thu Sep 26 00:33:39 2019,31951619,1086.78,1513,1510,1088,1513,1088,1940,-0.0469513,-0.187798,0.9,-0.281677,-0.5,0.5,5360,5568,1210,0,8,26,1.12049,0.071826,-10.41,-0.0436332,-0.213909,0.0500185,-24.9375,32.9906,29.0391,6.14342,427.775,14.4009,0.0327493,14.4336,8.79603e-05,-0,-0,
Thu Sep 26 00:33:39 2019,31961620,1086.78,1513,1510,1088,1513,1088,1940,-0.0469513,-0.187798,0.9,-0.281677,-0.5,0.5,5360,5568,1210,0,8,26,-0.124498,-0.268151,-9.33739,0.0702388,-0.148991,0.0574681,-24.9375,32.9906,29.0391,-0.763899,428.042,13.5339,0.0214163,13.5554,8.60936e-05,-0,-0,
Thu Sep 26 00:33:39 2019,31971621,1086.78,1513,1510,1088,1513,1088,1940,-0.0469513,-0.187798,0.9,-0.281677,-0.5,0.5,5392,5548,1210,2,28,12,1.43652,-0.742203,-11.3629,-0.00319267,-0.185175,-0.00532112,-24.9375,32.9906,29.0391,7.20524,428.339,12.7007,0.038645,12.7394,8.52885e-05,-0,-0,
Thu Sep 26 00:33:39 2019,31981622,1086.78,1513,1510,1088,1513,1088,1940,-0.0469513,-0.187798,0.9,-0.281677,-0.5,0.5,5392,5548,1210,2,28,12,0.138864,0.229843,-10.8936,0.0117065,-0.300111,0.0202203,-24.9375,32.9906,29.0391,0.730325,428.659,11.904,0.0758702,11.9798,8.37691e-05,-0,-0,
Thu Sep 26 00:33:39 2019,31991623,1087.14,1513,1510,1088,1513,1088,1940,-0.0469513,-0.187798,0.9,-0.281677,-0.5,0.5,5368,5516,1040,116,30,10,0.397437,-0.148441,-11.315,0.0851379,-0.351194,-0.0372479,-24.9375,32.9906,29.0391,2.01168,428.96,11.14,0.0921283,11.2322,8.28585e-05,-0,-0,
Thu Sep 26 00:33:39 2019,32001624,1087.14,1513,1510,1088,1513,1088,1940,-0.0469513,-0.187798,0.9,-0.281677,-0.5,0.5,5368,5516,1040,116,30,10,1.25935,-1.33596,-8.30788,0.230937,-0.487415,-0.200074,-24.9375,32.9906,29.0391,8.61957,429.285,10.4116,0.130003,10.5416,8.32433e-05,0,0,
Thu Sep 26 00:33:39 2019,32011625,1087.14,1513,1510,1088,1513,1088,1940,-0.0469513,-0.187798,0.9,-0.281677,-0.5,0.5,5384,5524,1058,108,8,28,2.13084,0.023942,-12.2439,-0.365029,-1.09083,-0,-24.9375,32.9906,29.0391,9.87243,429.745,9.73325,0.292189,10.0254,8.36501e-05,0,0,
Thu Sep 26 00:33:39 2019,32021626,1087.14,1513,1510,1088,1513,1088,1940,-0.0469513,-0.187798,0.9,-0.281677,-0.5,0.5,5384,5524,1058,108,8,28,2.0638,0.560243,-11.7364,0.0989729,-1.59421,0.0691746,-24.9375,32.9906,29.0391,9.97331,430.175,9.11199,0.412085,9.52407,8.52618e-05,0,0,
