today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG, acc_filt, gyr_filt, com_filt, kpe(P), kiei(I), kded(D)
Wed Sep 25 23:58:05 2019,12993437,0,1513,1511,1088,1512,1088,1514,-0.0469513,-0.140846,0.9,-0.563385,-0.5,-1.19209e-07,5396,5558,1234,0,8,30,-0.143652,0.244209,-9.50498,-0.0180918,0,0.0297983,-17.4563,35.1422,30.4219,-0.865866,0.286479,-0.000817165,0.274036,0.273219,0,0,0,
Wed Sep 25 23:58:05 2019,13003438,1088.17,1513,1511,1088,1512,1088,1514,-0.0469513,-0.140846,0.9,-0.563385,-0.5,-1.19209e-07,5396,5558,1234,0,8,30,-0.191536,0.292093,-9.51935,0.0042569,-0.00532112,0.0372479,-17.4563,35.1422,30.4219,-1.15268,0.574483,-0.00428398,0.525207,0.520923,0.000211094,0,0,
Wed Sep 25 23:58:05 2019,13013442,1088.17,1513,1511,1088,1512,1088,1514,-0.0469513,-0.140846,0.9,-0.563385,-0.5,-1.19209e-07,5368,5534,1234,0,8,30,-0.512359,0.0143652,-9.4954,0.0415047,0.00212845,0.0234129,-16.9219,36.3973,33.0146,-3.08861,0.858828,-0.0133477,0.749551,0.736203,0.000209434,-0,-0,
Wed Sep 25 23:58:05 2019,13023443,1088.17,1513,1511,1088,1512,1088,1514,-0.0469513,-0.140846,0.9,-0.563385,-0.5,-1.19209e-07,5368,5534,1234,0,8,30,-0.646434,-0.134075,-9.63906,0.0372479,0.0117065,0.00638535,-16.9219,36.3973,33.0146,-3.83675,1.14256,-0.0321294,0.951416,0.919286,0.000207058,-0,-0,
Wed Sep 25 23:58:05 2019,13033446,1088.17,1513,1511,1088,1512,1088,1940,-0.0469513,-0.140846,0.9,-0.563385,-0.5,0.5,5388,5548,1234,0,8,30,-0.555455,-0.196325,-9.72046,0.0297983,0.0170276,-0.00106422,-16.9219,36.3973,33.0146,-3.27049,1.42752,-0.062437,1.1337,1.07126,0.000205003,-0,-0,
Wed Sep 25 23:58:05 2019,13043447,1088.17,1513,1511,1088,1512,1088,1940,-0.0469513,-0.140846,0.9,-0.563385,-0.5,0.5,5388,5548,1234,0,8,30,-0.517148,-0.268151,-9.92636,0.00532112,0.0127707,0.00106422,-16.9219,36.3973,33.0146,-2.98233,1.71522,-0.102542,1.29884,1.1963,0.000202933,-0,-0,
Wed Sep 25 23:58:05 2019,13053448,1089.42,1513,1511,1088,1512,1088,1940,-0.0469513,-0.140846,0.9,-0.563385,-0.5,0.5,5388,5524,1238,0,32,14,-0.45011,-0.277727,-9.98382,-0.0308625,-0.00212845,0.00212845,-16.9219,36.3973,33.0146,-2.58137,2.00596,-0.150003,1.44796,1.29796,0.000200832,-0,-0,
Wed Sep 25 23:58:05 2019,13063449,1089.42,1513,1511,1088,1512,1088,1940,-0.0469513,-0.140846,0.9,-0.563385,-0.5,0.5,5366,5524,1238,0,32,14,-0.416591,-0.0287304,-9.81144,-0.0266056,-0.019156,0.0117065,-16.9219,36.3973,33.0146,-2.43131,2.29732,-0.202847,1.57952,1.37668,0.000198747,-0,-0,
Wed Sep 25 23:58:05 2019,13073450,1089.42,1513,1511,1088,1512,1088,1940,-0.0469513,-0.140846,0.9,-0.563385,-0.5,0.5,5394,5550,1234,0,30,14,-0.225055,0.0957681,-9.96467,-0.00532112,-0.0287341,0.0255414,-16.9219,36.3973,33.0146,-1.29382,2.58654,-0.25868,1.6919,1.43322,0.000196704,-0,-0,
Wed Sep 25 23:58:05 2019,13083451,1089.42,1513,1511,1088,1512,1088,1940,-0.0469513,-0.140846,0.9,-0.563385,-0.5,0.5,5394,5550,1234,0,30,14,-0.301669,0.0526724,-9.87848,0.0287341,-0.0457616,0.0404405,-16.9219,36.3973,33.0146,-1.74916,2.8779,-0.315179,1.79038,1.4752,0.00019456,-0,-0,
