today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG, acc_filt, gyr_filt, com_filt, kpe(P), kiei(I), kded(D)
Wed Sep 25 23:56:46 2019,43781952,4499.06,1513,1511,1088,1512,1088,1514,-0.0469513,-0.140846,0.9,-0.563385,-0.5,-1.19209e-07,5394,5540,1242,0,8,30,-0.933739,-0.071826,-9.47625,0.0180918,-0.0297983,0.0212845,-15.675,33.7078,31.8047,-5.62746,211.144,0.963203,-0.00371091,0.959492,0.000225883,-0,-0,
Wed Sep 25 23:56:46 2019,43791953,4521.65,1513,1511,1088,1512,1088,1514,-0.0469513,-0.140846,0.9,-0.563385,-0.5,-1.19209e-07,5374,5540,1234,0,30,10,-0.943315,-0.172383,-9.3326,0.0148991,-0.0383121,0.0127707,-15.675,33.7078,31.8047,-5.77172,211.433,0.924224,-0.00170026,0.922523,9.76341e-05,-0,-0,
Wed Sep 25 23:56:46 2019,43801956,4521.65,1513,1511,1088,1512,1088,1514,-0.0469513,-0.140846,0.9,-0.563385,-0.5,-1.19209e-07,5374,5540,1234,0,30,10,-0.766145,-0.143652,-9.47146,-0.00212845,-0.042569,0.00851379,-15.675,33.7078,31.8047,-4.62458,211.72,0.864499,-0.00101373,0.863485,9.72609e-05,-0,-0,
Wed Sep 25 23:56:46 2019,43811957,4521.65,1513,1511,1088,1512,1088,1514,-0.0469513,-0.140846,0.9,-0.563385,-0.5,-1.19209e-07,5392,5554,1238,0,6,30,-0.842759,-0.0574608,-9.63427,-0.0159634,-0.0415047,0.0138349,-15.675,33.7078,31.8047,-4.99924,212.007,0.787692,-0.0018313,0.785861,9.65758e-05,-0,-0,
Wed Sep 25 23:56:46 2019,43821958,4504.59,1513,1511,1088,1512,1088,1514,-0.0469513,-0.140846,0.9,-0.563385,-0.5,-1.19209e-07,5392,5554,1238,0,6,30,-0.871489,-0.0191536,-9.5385,-0.00106422,-0.0361836,0.0170276,-15.675,33.7078,31.8047,-5.22037,212.292,0.695711,-0.00376266,0.691949,9.58827e-05,-0,-0,
Wed Sep 25 23:56:46 2019,43831959,4504.59,1513,1511,1088,1512,1088,1514,-0.0469513,-0.140846,0.9,-0.563385,-0.5,-1.19209e-07,5388,5550,1234,0,30,30,-1.01035,-0.0143652,-9.52413,0.0117065,-0.0308625,0.0117065,-15.675,33.7078,31.8047,-6.05549,212.576,0.588635,-0.00550043,0.583134,9.52359e-05,-0,-0,
Wed Sep 25 23:56:46 2019,43841960,4504.59,1513,1511,1088,1512,1088,1940,-0.0469513,-0.140846,0.9,-0.563385,-0.5,0.5,5388,5550,1234,0,30,30,-0.842759,0.0143652,-9.5816,0.00532112,-0.0276698,0.00957802,-15.675,33.7078,31.8047,-5.02658,212.862,0.467335,-0.00648992,0.460845,9.47234e-05,-0,-0,
Wed Sep 25 23:56:46 2019,43851961,4504.59,1513,1511,1088,1512,1088,1940,-0.0469513,-0.140846,0.9,-0.563385,-0.5,0.5,5388,5548,1234,0,6,28,-0.857124,0.023942,-9.63906,0.0202203,-0.0234129,0.019156,-15.675,33.7078,31.8047,-5.08149,213.147,0.334582,-0.00766074,0.326921,9.40678e-05,-0,-0,
Wed Sep 25 23:56:46 2019,43861962,4504.59,1513,1511,1088,1512,1088,1940,-0.0469513,-0.140846,0.9,-0.563385,-0.5,0.5,5388,5548,1234,0,6,28,-0.890643,-0.129287,-9.70131,0.00319267,-0.0244772,0.0202203,-15.675,33.7078,31.8047,-5.24543,213.434,0.192561,-0.00723829,0.185323,9.33984e-05,-0,-0,
Wed Sep 25 23:56:46 2019,43871963,4504.59,1513,1511,1088,1512,1088,1940,-0.0469513,-0.140846,0.9,-0.563385,-0.5,0.5,5394,5554,1234,0,6,30,-0.991199,-0.129287,-9.663,0.00106422,-0.0255414,0.0127707,-15.675,33.7078,31.8047,-5.85674,213.721,0.0416595,-0.00682442,0.0348351,9.27712e-05,-0,-0,
Wed Sep 25 23:56:46 2019,43881964,4500.22,1513,1511,1088,1512,1088,1940,-0.0469513,-0.140846,0.9,-0.563385,-0.5,0.5,5394,5554,1234,0,6,30,-0.861913,-0.047884,-9.67736,0,-0.019156,0.0138349,-15.675,33.7078,31.8047,-5.08961,214.006,-0.117384,-0.0084799,-0.125864,9.22348e-05,-0,-0,
Wed Sep 25 23:56:46 2019,43891965,4500.22,1513,1511,1088,1512,1088,1940,-0.0469513,-0.140846,0.9,-0.563385,-0.5,0.5,5384,5538,1240,0,6,28,-0.995988,-0.0622492,-9.72046,0.00212845,-0.0127707,0.0159634,-15.675,33.7078,31.8047,-5.85029,214.29,-0.283123,-0.00994742,-0.293071,9.1625e-05,-0,-0,
Wed Sep 25 23:56:46 2019,43901966,4500.22,1513,1511,1088,1512,1088,1940,-0.0469513,-0.140846,0.9,-0.563385,-0.5,0.5,5384,5538,1240,0,6,28,-1.05824,0,-9.5816,0.0117065,-0.0127707,0.0148991,-15.675,33.7078,31.8047,-6.30248,214.577,-0.455503,-0.00949791,-0.465001,9.10668e-05,-0,-0,
Wed Sep 25 23:56:46 2019,43911967,4500.22,1513,1511,1088,1512,1088,1940,-0.0469513,-0.140846,0.9,-0.563385,-0.5,0.5,5370,5540,1238,0,30,14,-0.991199,-0.0670376,-9.43794,0.0106422,-0.00744957,0.00851379,-15.675,33.7078,31.8047,-5.99539,214.862,-0.634589,-0.0105309,-0.64512,9.06034e-05,-0,-0,
Wed Sep 25 23:56:46 2019,43921968,4499.94,1513,1511,1088,1512,1088,1940,-0.0469513,-0.140846,0.9,-0.563385,-0.5,0.5,5370,5540,1238,0,30,14,-0.991199,0.0335188,-9.59596,0.0138349,-0.0042569,0.019156,-15.675,33.7078,31.8047,-5.89737,215.147,-0.81889,-0.0108259,-0.829716,9.00693e-05,-0,-0,
Wed Sep 25 23:56:46 2019,43931969,4499.94,1513,1511,1088,1512,1088,1940,-0.0469513,-0.140846,0.9,-0.563385,-0.5,0.5,5380,5562,1212,10,6,28,-0.526724,-0.402226,-9.83538,0.0202203,-0.0244772,0.0659819,-15.675,33.7078,31.8047,-3.06549,215.439,-1.00412,-0.00466158,-1.00878,8.94235e-05,-0,-0,
Wed Sep 25 23:56:46 2019,43941970,4499.94,1513,1511,1088,1512,1088,1940,-0.0469513,-0.140846,0.9,-0.563385,-0.5,0.5,5380,5562,1212,10,6,28,-1.06303,-0.555455,-10.0365,-0.0393763,-0.0244772,0.0564039,-15.675,33.7078,31.8047,-6.04601,215.726,-1.18688,-0.00454247,-1.19142,8.85095e-05,-0,-0,
Wed Sep 25 23:56:46 2019,43951971,4499.94,1513,1511,1088,1512,1088,1940,-0.0469513,-0.140846,0.9,-0.563385,-0.5,0.5,5382,5556,1212,2,6,28,-1.25456,-0.148441,-8.96389,0.0138349,-0.00106422,0.0361836,-15.675,33.7078,31.8047,-7.96722,216.006,-1.37144,-0.010825,-1.38227,8.77945e-05,-0,-0,
Wed Sep 25 23:56:46 2019,43961972,4499.94,1513,1511,1088,1512,1088,1940,-0.0469513,-0.140846,0.9,-0.563385,-0.5,0.5,5382,5556,1212,2,6,28,-1.10612,-0.0335188,-9.61511,0.032991,0.00744957,0.00212845,-15.675,33.7078,31.8047,-6.56245,216.29,-1.56209,-0.0124587,-1.57455,8.77056e-05,-0,-0,
