today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG, acc_filt, gyr_filt, com_filt, kpe(P), kiei(I), kded(D)
Thu Sep 26 01:19:56 2019,13939862,0,1512,1511,1088,1512,1088,1514,-0.0939026,0.211266,0.9,-0.563385,-0.5,-1.19209e-07,5400,5554,1234,0,6,28,-0.258574,0.0861913,-9.663,0.0138349,-0.0223487,0.019156,-19.5938,32.2734,30.4219,-1.53282,0.292882,-0.00144661,0.28016,0.278714,7.69527e+30,1.28255e+21,1.66731e+32,
Thu Sep 26 01:19:56 2019,13949863,1080.01,1512,1511,1088,1512,1088,1514,-0.0939026,0.211266,0.9,-0.563385,-0.5,-1.19209e-07,5396,5556,1234,0,28,12,-0.287304,-0.0670376,-9.61033,0.0159634,-0.0159634,0.0255414,-19.5938,32.2734,30.4219,-1.71237,0.577531,-0.00727409,0.52758,0.520306,0.0652907,-1.28255e+21,-1.66731e+32,
Thu Sep 26 01:19:56 2019,13959866,1080.01,1512,1511,1088,1512,1088,1514,-0.0939026,0.211266,0.9,-0.563385,-0.5,-1.19209e-07,5396,5556,1234,0,28,12,-0.339977,0.0143652,-9.72046,0.00212845,-0.00532112,0.0372479,-19.5938,32.2734,30.4219,-2.00313,0.860962,-0.0191481,0.750815,0.731667,0.0647668,-8.73137e-14,-0.0113508,
Thu Sep 26 01:19:56 2019,13969867,1080.01,1512,1511,1088,1512,1088,1514,-0.0939026,0.211266,0.9,-0.563385,-0.5,-1.19209e-07,5390,5550,1238,0,8,30,-0.445322,0.0670376,-9.73482,0.00957802,0.0106422,0.0532112,-19.5938,32.2734,30.4219,-2.61918,1.14287,-0.0378095,0.950786,0.912977,0.0640891,-1.12953e-13,-0.0146839,
Thu Sep 26 01:19:56 2019,13979868,1080.01,1512,1511,1088,1512,1088,1514,-0.0939026,0.211266,0.9,-0.563385,-0.5,-1.19209e-07,5390,5550,1238,0,8,30,-0.426168,0.11971,-9.64863,0.0127707,0.0223487,0.0574681,-19.5938,32.2734,30.4219,-2.52904,1.42599,-0.0639633,1.13134,1.06738,0.0634183,-1.1181e-13,-0.0145353,
Thu Sep 26 01:19:56 2019,13989869,1080.01,1512,1511,1088,1512,1088,1514,-0.0939026,0.211266,0.9,-0.563385,-0.5,-1.19209e-07,5396,5548,1234,0,28,10,-0.445322,0.0957681,-9.68215,0.0212845,0.0383121,0.0638535,-19.5938,32.2734,30.4219,-2.63341,1.7079,-0.0973838,1.29111,1.19373,0.0627241,-1.157e-13,-0.015041,
Thu Sep 26 01:19:56 2019,13999870,1080.31,1512,1511,1088,1512,1088,1514,-0.0939026,0.211266,0.9,-0.563385,-0.5,-1.19209e-07,5396,5548,1234,0,28,10,-0.325611,0.105345,-9.76834,0.032991,0.0574681,0.061725,-19.5938,32.2734,30.4219,-1.90915,1.98889,-0.136756,1.43156,1.2948,0.0620035,-1.20096e-13,-0.0156125,
Thu Sep 26 01:19:56 2019,14009871,1080.31,1512,1511,1088,1512,1088,1514,-0.0939026,0.211266,0.9,-0.563385,-0.5,-1.19209e-07,5388,5538,1234,0,8,28,-0.354342,-0.0287304,-9.67736,0.0478901,0.0659819,0.0564039,-19.5938,32.2734,30.4219,-2.09698,2.27293,-0.180333,1.55758,1.37725,0.0612476,-1.25986e-13,-0.0163782,
Thu Sep 26 01:19:56 2019,14019872,1080.31,1512,1511,1088,1512,1088,1514,-0.0939026,0.211266,0.9,-0.563385,-0.5,-1.19209e-07,5388,5538,1234,0,8,28,-0.306458,0,-9.51935,0.0585323,0.0830095,0.0532112,-19.0594,33.8871,33.3604,-1.8439,2.55453,-0.227027,1.66468,1.43766,0.0604917,-1.25981e-13,-0.0163776,
Thu Sep 26 01:19:56 2019,14029873,1080.31,1512,1511,1088,1512,1088,1514,-0.0939026,0.211266,0.9,-0.563385,-0.5,-1.19209e-07,5400,5548,1234,0,28,10,-0.277727,0.00957681,-9.36612,0.0606608,0.0979086,0.0415047,-19.0594,33.8871,33.3604,-1.69846,2.83674,-0.275957,1.75698,1.48102,0.0596945,-1.32868e-13,-0.0172728,
Thu Sep 26 01:19:56 2019,14039874,1080.12,1512,1511,1088,1512,1088,1514,-0.0939026,0.211266,0.9,-0.563385,-0.5,-1.19209e-07,5400,5548,1234,0,28,10,-0.181959,-0.0622492,-9.38527,0.0542754,0.109615,0.0297983,-19.0594,33.8871,33.3604,-1.1107,3.11987,-0.325682,1.83568,1.50999,0.0588891,-1.34232e-13,-0.0174501,
