today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG, acc_filt, gyr_filt, com_filt, kpe(P), kiei(I), kded(D)
Thu Sep 26 01:09:38 2019,9588813,0,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5394,5546,1240,0,28,28,-0.00957681,-0.0335188,-9.60075,0.0159634,-0.631085,-0.0138349,-23.8688,33.7078,29.0391,-0.0571529,0.467272,-5.39384e-05,0.446976,0.446922,8.77816e+30,0,1.75563e+32,
Thu Sep 26 01:09:38 2019,9598814,1083.48,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5392,5546,1236,0,30,28,-0.071826,0.0670376,-9.63427,0.0266056,-0.625764,-0.00638535,-23.8688,33.7078,29.0391,-0.427148,0.752227,-0.000614089,0.679881,0.679267,0.240631,-0,-1.75563e+32,
Thu Sep 26 01:09:38 2019,9608817,1083.48,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5392,5546,1236,0,30,28,-0.339977,-0.129287,-9.48583,0.0266056,-0.610865,0.0159634,-23.8688,33.7078,29.0391,-2.05263,1.03444,-0.00392168,0.887802,0.88388,0.239184,-0,-0.0289347,
Thu Sep 26 01:09:38 2019,9618818,1083.48,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5394,5550,1230,0,8,28,-0.483629,-0.220267,-9.50977,0.019156,-0.599158,0.0159634,-23.8688,33.7078,29.0391,-2.91133,1.31756,-0.0139585,1.07558,1.06162,0.23886,-0,-0.0064856,
Thu Sep 26 01:09:38 2019,9628819,1083.48,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5394,5550,1230,0,8,28,-0.59855,-0.158017,-9.75398,0.0117065,-0.57681,0.00744957,-23.8688,33.7078,29.0391,-3.51154,1.59764,-0.0338359,1.24042,1.20658,0.238556,-0,-0.00606903,
Thu Sep 26 01:09:38 2019,9638820,1083.48,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5392,5536,1234,0,28,12,-0.919373,-0.0622492,-9.39964,0.0117065,-0.555525,0.00212845,-23.8688,33.7078,29.0391,-5.58631,1.87802,-0.0665442,1.38686,1.32031,0.238256,-0,-0.00600601,
Thu Sep 26 01:09:38 2019,9648821,1082.77,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5392,5536,1234,0,28,12,-0.890643,-0.0814029,-9.47146,0.0212845,-0.536369,-0.00957802,-23.8688,33.7078,29.0391,-5.37198,2.15901,-0.11515,1.5162,1.40105,0.237939,-0,-0.00634621,
Thu Sep 26 01:09:38 2019,9658822,1082.77,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5388,5534,1234,0,28,12,-1.06781,-0.215478,-9.51456,0.00851379,-0.503378,-0.0180918,-23.8688,33.7078,29.0391,-6.40349,2.43604,-0.180645,1.62504,1.44439,0.237619,-0,-0.00638786,
Thu Sep 26 01:09:38 2019,9668823,1082.77,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5388,5534,1234,0,28,12,-1.07739,-0.244209,-9.48583,-0.00638535,-0.477837,-0.0212845,-23.8688,33.7078,29.0391,-6.47983,2.7152,-0.263164,1.72053,1.45737,0.237336,-0,-0.00566208,
Thu Sep 26 01:09:38 2019,9678824,1082.77,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5394,5548,1234,0,8,28,-1.10612,-0.071826,-9.64384,-0.0042569,-0.450167,-0.0180918,-23.8688,33.7078,29.0391,-6.54307,2.99375,-0.362126,1.80083,1.43871,0.237053,-0,-0.00565941,
Thu Sep 26 01:09:38 2019,9688825,1082.41,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5394,5548,1234,0,8,28,-1.12049,-0.0622492,-9.64863,-0.00532112,-0.419304,-0.0127707,-23.8688,33.7078,29.0391,-6.62404,3.27139,-0.476028,1.86664,1.39061,0.236718,-0,-0.00670189,
Thu Sep 26 01:09:38 2019,9698826,1082.41,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5394,5550,1232,0,28,12,-1.0726,-0.0335188,-9.50498,0.0042569,-0.385249,0.00212845,-23.8688,33.7078,29.0391,-6.43839,3.54812,-0.603208,1.91892,1.31572,0.236319,-0,-0.00799164,
Thu Sep 26 01:09:38 2019,9708827,1082.41,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5394,5550,1232,0,28,12,-1.12527,-0.134075,-9.71088,0.00212845,-0.353322,0.0138349,-23.8688,33.7078,29.0391,-6.60983,3.82545,-0.741944,1.96011,1.21817,0.235875,-0,-0.00887657,
