today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG, acc_filt, gyr_filt, com_filt, kpe(P), kiei(I), kded(D)
Thu Sep 26 01:03:24 2019,8023007,0,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5400,5540,1238,0,26,10,1.16358,-0.373495,9.94551,0.00851379,-0.0564039,0.0180918,19.5938,35.1422,-62.918,173.327,0.302638,0.163578,0.289493,0.453071,8.58516e+30,0,1.71703e+32,
Thu Sep 26 01:03:24 2019,8033011,1084.84,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5384,5546,1234,0,28,12,1.12049,-0.268151,10.07,0.0117065,-0.0585323,0.0127707,19.5938,35.1422,-62.918,173.651,0.589727,0.803678,0.538417,1.3421,-0.100457,-0,-1.71703e+32,
Thu Sep 26 01:03:24 2019,8043015,1084.84,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5384,5546,1234,0,28,12,1.09176,-0.268151,10.1706,0.00957802,-0.0542754,0.0127707,19.5938,35.1422,-62.918,173.873,0.874986,2.04179,0.762404,2.80419,-0.100309,0,0.00296362,
Thu Sep 26 01:03:24 2019,8053016,1084.84,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5396,5548,1234,0,26,10,1.22583,-0.268151,10.0556,0.0106422,-0.0553397,0.0127707,19.5938,35.1422,-62.918,173.05,1.16177,3.82236,0.965937,4.78829,-0.100534,-0,-0.0044981,
Thu Sep 26 01:03:24 2019,8063017,1084.84,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5396,5548,1234,0,26,10,1.20189,-0.354342,10.0078,0.0106422,-0.0585323,0.00851379,19.5938,35.1422,-62.918,173.152,1.44916,6.09132,1.14911,7.24043,-0.10069,-0,-0.00313852,
Thu Sep 26 01:03:24 2019,8073018,1084.84,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5402,5554,1234,0,8,30,1.23062,-0.287304,10.07,0.00744957,-0.0510828,0.00851379,19.5938,35.1422,-62.918,173.033,1.73351,8.79791,1.30946,10.1074,-0.100939,-0,-0.00497194,
Thu Sep 26 01:03:24 2019,8083019,1086.44,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5402,5554,1234,0,8,30,1.29287,-0.282516,10.0556,0.00851379,-0.052147,0.00851379,19.5938,35.1422,-62.918,172.674,2.02029,11.8942,1.45358,13.3478,-0.10118,-0,-0.00482775,
Thu Sep 26 01:03:24 2019,8093020,1086.44,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5394,5536,1238,0,6,30,1.23541,-0.316035,9.95988,0.00638535,-0.0468259,0.0148991,19.5938,35.1422,-62.918,172.929,2.30525,15.335,1.57821,16.9132,-0.101428,-0,-0.00494364,
Thu Sep 26 01:03:24 2019,8103021,1086.44,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5394,5536,1238,0,6,30,1.23062,-0.268151,10.07,0.00744957,-0.0489543,0.0138349,19.5938,35.1422,-62.918,173.033,2.59234,19.0781,1.68833,20.7664,-0.101676,-0,-0.00497381,
Thu Sep 26 01:03:24 2019,8113022,1086.44,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5402,5546,1234,0,28,28,1.25935,-0.344765,10.0413,0.0106422,-0.052147,0.0138349,19.5938,35.1422,-62.918,172.852,2.87973,23.084,1.78301,24.867,-0.10193,-0,-0.00506594,
