today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG, acc_filt, gyr_filt, com_filt, kpe(P), kiei(I), kded(D)
Thu Sep 26 00:49:06 2019,6531296,0,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5400,5556,1240,0,28,10,-0.78051,-0.177171,-9.92636,-0.0159634,-0.126643,0.0042569,-23.8688,33.3492,30.0762,-4.49592,0.32276,-0.00424305,0.30874,0.304497,0,0,0,
Thu Sep 26 00:49:06 2019,6541297,1088.55,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5400,5556,1240,0,28,10,-0.656011,-0.105345,-9.17937,0.0553397,-0.146863,0.00106422,-23.8688,33.3492,30.0762,-4.08774,0.615031,-0.0204534,0.560914,0.540461,0.129368,0,2.80298,
Thu Sep 26 00:49:06 2019,6551300,1088.55,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5390,5546,1238,0,8,28,-0.746991,-0.177171,-10.0078,0.00744957,-0.118129,0.00638535,-23.8688,33.3492,30.0762,-4.26871,0.893279,-0.0511963,0.776125,0.724929,0.128655,-0,-0.0154655,
Thu Sep 26 00:49:06 2019,6561301,1088.55,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5390,5546,1238,0,8,28,-0.790087,-0.114922,-9.35175,0,-0.114936,0.00638535,-23.8688,33.3492,30.0762,-4.82919,1.17884,-0.0956059,0.977116,0.88151,0.127645,-0,-0.0218714,
Thu Sep 26 00:49:06 2019,6571302,1088.55,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5392,5534,1234,0,30,28,-0.833182,-0.124498,-9.52413,0.0574681,-0.110679,0.00638535,-23.8688,33.3492,30.0762,-4.99958,1.4641,-0.153743,1.15705,1.0033,0.126701,-0,-0.0204457,
Thu Sep 26 00:49:06 2019,6581303,1088.55,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5392,5534,1234,0,30,28,-0.837971,-0.134075,-9.83538,-0.0106422,-0.0734315,0.0170276,-23.8688,33.3492,30.0762,-4.86982,1.73991,-0.224949,1.30828,1.08333,0.125712,-0,-0.0214338,
Thu Sep 26 00:49:06 2019,6591304,1087.78,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5392,5536,1234,0,28,14,-0.794875,-0.124498,-9.29429,0.0393763,-0.0862022,0.00851379,-23.8688,33.3492,30.0762,-4.88821,2.03005,-0.307778,1.45542,1.14764,0.124709,-0,-0.0217387,
Thu Sep 26 00:49:06 2019,6601305,1087.78,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5392,5536,1234,0,28,14,-0.871489,-0.114922,-9.59596,-0.00638535,-0.0776884,0.0202203,-23.8688,33.3492,30.0762,-5.18928,2.31409,-0.401126,1.57874,1.17761,0.123697,-0,-0.0219287,
Thu Sep 26 00:49:06 2019,6611306,1087.78,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5390,5548,1234,0,28,10,-0.861913,-0.268151,-9.73482,0.0117065,-0.0564039,0.019156,-23.8688,33.3492,30.0762,-5.05973,2.59447,-0.50421,1.68211,1.1779,0.122652,-0,-0.0226465,
Thu Sep 26 00:49:06 2019,6621307,1087.78,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5390,5548,1234,0,28,10,-0.92895,-0.196325,-9.66779,0.0223487,-0.0659819,0.0170276,-23.8688,33.3492,30.0762,-5.48854,2.88369,-0.616257,1.77881,1.16255,0.121621,-0,-0.0223395,
Thu Sep 26 00:49:06 2019,6631308,1088.13,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5388,5548,1234,0,28,12,-0.818817,-0.277727,-9.73004,0.00319267,-0.052147,0.0234129,-23.8688,33.3492,30.0762,-4.81031,3.16621,-0.736131,1.85416,1.11803,0.120575,-0,-0.0226428,
Thu Sep 26 00:49:06 2019,6641309,1088.13,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5388,5548,1234,0,28,12,-0.890643,-0.0909797,-9.34217,0.0351194,-0.0468259,0.0042569,-23.8688,33.3492,30.0762,-5.44588,3.45116,-0.862437,1.91844,1.056,0.11954,-0,-0.0224447,
Thu Sep 26 00:49:06 2019,6651310,1088.13,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5394,5556,1234,0,26,12,-0.909797,0.129287,-9.7444,0.0042569,-0.0446974,0.0148991,-23.8688,33.3492,30.0762,-5.33402,3.73703,-0.994607,1.97089,0.976281,0.118497,-0,-0.0225801,
Thu Sep 26 00:49:06 2019,6661311,1088.13,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5394,5556,1234,0,26,12,-0.756568,-0.0814029,-9.47146,0.052147,-0.0415047,0.00532112,-23.8688,33.3492,30.0762,-4.56702,4.0226,-1.13131,2.01115,0.87984,0.117427,-0,-0.0232004,
Thu Sep 26 00:49:06 2019,6671312,1088.13,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5392,5548,1238,0,28,30,-0.823605,-0.253785,-9.57202,0.00319267,-0.0393763,0.00851379,-23.8688,33.3492,30.0762,-4.91779,4.30847,-1.27042,2.04069,0.770271,0.116356,-0,-0.0231977,
Thu Sep 26 00:49:06 2019,6681313,1088.13,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5392,5548,1238,0,28,30,-0.675165,-0.225055,-9.39485,0,-0.0446974,0.00851379,-23.8688,33.3492,30.0762,-4.11052,4.59647,-1.41038,2.06205,0.651675,0.115292,-0,-0.0230606,
Thu Sep 26 00:49:06 2019,6691314,1087.05,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5390,5546,1216,0,8,28,-0.368707,-0.521936,-9.84017,-0.0308625,-0.032991,0.00532112,-23.8688,33.3492,30.0762,-2.14585,4.8796,-1.54755,2.06915,0.521606,0.114232,-0,-0.0229666,
Thu Sep 26 00:49:06 2019,6701315,1087.05,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5390,5546,1216,0,8,28,-0.804452,0.0861913,-9.31344,-0.0319267,-0.0106422,0.00851379,-23.8688,33.3492,30.0762,-4.93669,5.15967,-1.6798,2.06492,0.385116,0.113122,-0,-0.0240383,
Thu Sep 26 00:49:06 2019,6711316,1087.05,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5384,5546,1218,2,26,28,-1.16837,-0.0766145,-8.91122,0.118129,-0.00532112,-0.032991,-23.8688,33.3492,30.0762,-7.46958,5.44463,-1.81287,2.05792,0.245046,0.112026,-0,-0.0237506,
Thu Sep 26 00:49:06 2019,6721317,1087.05,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5384,5546,1218,2,26,28,-0.814029,-0.56982,-10.2568,0.0340552,-0.00532112,-0.0202203,-23.8688,33.3492,30.0762,-4.53778,5.73111,-1.95083,2.0452,0.094371,0.110989,-0,-0.022469,
Thu Sep 26 00:49:06 2019,6731318,1088.01,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5394,5536,1228,0,26,10,-0.430956,-0.181959,-9.39006,0.00212845,-0.0393763,0.00532112,-23.8688,33.3492,30.0762,-2.62775,6.02734,-2.0878,2.03518,-0.0526175,0.109946,-0,-0.0225996,
Thu Sep 26 00:49:06 2019,6741319,1088.01,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5394,5536,1228,0,26,10,-0.679953,0,-9.3326,-0.0659819,-0.071303,0.0372479,-23.8688,33.3492,30.0762,-4.16709,6.32297,-2.21842,2.01774,-0.200674,0.108835,-0,-0.0240789,
Thu Sep 26 00:49:06 2019,6751320,1088.01,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5394,5534,1220,0,8,28,-0.766145,0.0287304,-9.27514,0.0564039,-0.0915233,0.0383121,-23.8688,33.3492,30.0762,-4.72203,6.61524,-2.34436,1.99096,-0.353401,0.107749,-0,-0.0235156,
Thu Sep 26 00:49:06 2019,6761321,1088.01,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5394,5534,1220,0,8,28,-0.766145,0.162806,-9.95509,-0.00532112,-0.0979086,0.032991,-23.8688,33.3492,30.0762,-4.40082,6.90355,-2.46775,1.95515,-0.512604,0.106719,-0,-0.0223239,
Thu Sep 26 00:49:06 2019,6771322,1088.01,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5394,5546,1230,0,8,30,-0.737414,-0.344765,-9.39006,0.052147,-0.1309,0.0266056,-23.8688,33.3492,30.0762,-4.4903,7.19948,-2.58834,1.92229,-0.666053,0.105715,-0,-0.0217534,
Thu Sep 26 00:49:06 2019,6781323,1088.01,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5394,5546,1230,0,8,30,-1.22104,0.0047884,-9.47625,-0.0234129,-0.156441,0.00957802,-23.8688,33.3492,30.0762,-7.34228,7.49327,-2.70847,1.88293,-0.825546,0.104801,-0,-0.0198079,
Thu Sep 26 00:49:06 2019,6791324,1089.01,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5394,5546,1228,0,28,12,-0.392649,-0.21069,-9.54808,0.0787526,-0.190496,-0.00212845,-23.8688,33.3492,30.0762,-2.35487,7.78951,-2.82849,1.84213,-0.986355,0.103997,-0,-0.0174184,
Thu Sep 26 00:49:06 2019,6801325,1089.01,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5394,5546,1228,0,28,12,-0.823605,0.263362,-9.50977,-0.0457616,-0.228808,-0.0042569,-23.8688,33.3492,30.0762,-4.94983,8.08696,-2.94367,1.79902,-1.14465,0.103156,-0,-0.018216,
Thu Sep 26 00:49:06 2019,6811326,1089.01,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5394,5528,1226,0,6,28,-1.21625,-0.0909797,-9.30866,0.0659819,-0.280955,-0.00212845,-23.8688,33.3492,30.0762,-7.44401,8.38838,-3.05654,1.75657,-1.29998,0.10239,-0,-0.0165909,
Thu Sep 26 00:49:06 2019,6821327,1089.01,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5394,5528,1226,0,6,28,-0.756568,-0.794875,-9.12191,-0.0117065,-0.286276,-0.0148991,-15.1406,34.9629,34.7432,-4.74124,8.67639,-3.17148,1.69826,-1.47322,0.10179,-0,-0.0130045,
Thu Sep 26 00:49:06 2019,6831328,1088.68,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5392,5536,1226,0,6,28,-0.138864,-0.0430956,-9.62469,-0.0595966,-0.363965,-0.00106422,-15.1406,34.9629,34.7432,-0.826599,8.98512,-3.28143,1.65833,-1.6231,0.101211,-0,-0.0125369,
Thu Sep 26 00:49:06 2019,6841329,1088.68,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5392,5536,1226,0,6,28,-0.80924,0.311246,-9.2895,0.0468259,-0.363965,0.0287341,-15.1406,34.9629,34.7432,-4.97867,9.2716,-3.38039,1.59424,-1.78615,0.10062,-0,-0.0128141,
Thu Sep 26 00:49:06 2019,6851330,1088.68,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5390,5550,1222,0,8,28,-0.967257,-0.502782,-8.73884,0.00106422,-0.369286,-0.00744957,-15.1406,34.9629,34.7432,-6.31608,9.5596,-3.47431,1.53104,-1.94327,0.100071,-0,-0.0118887,
Thu Sep 26 00:49:06 2019,6861331,1088.68,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5390,5550,1222,0,8,28,-0.138864,-0.301669,-10.0461,-0.00319267,-0.50125,0.0042569,-15.1406,34.9629,34.7432,-0.791932,9.88389,-3.5645,1.50213,-2.06237,0.0997293,-0,-0.00740915,
