today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG, acc_filt, gyr_filt, com_filt, kpe(P), kiei(I), kded(D)
Thu Sep 26 01:14:49 2019,41034626,1081.27,1513,1512,1088,1512,1088,1514,-0.0469513,0.140846,0.9,-0.563385,-0.5,-1.19209e-07,5404,5546,1234,0,8,28,-1.09176,-0.100556,-9.42837,-0.0212845,-0.303304,-0.00851379,-20.1281,33.8871,28.8662,-6.60514,257.345,1.21693,0.0380501,1.25498,0.000370611,0,0.00518531,
Thu Sep 26 01:14:49 2019,41044627,1081.27,1513,1512,1088,1512,1088,1514,-0.0469513,0.140846,0.9,-0.563385,-0.5,-1.19209e-07,5404,5546,1234,0,8,28,-0.90022,0.071826,-9.17937,-0.0393763,-0.273506,-0.00638535,-20.1281,33.8871,28.8662,-5.60109,257.623,1.10082,0.0257157,1.12653,0.0149888,0,24.3637,
Thu Sep 26 01:14:49 2019,41054630,1081.27,1513,1512,1088,1512,1088,1514,-0.0469513,0.140846,0.9,-0.563385,-0.5,-1.19209e-07,5388,5546,1234,0,30,14,-0.713472,0.220267,-9.72046,-0.0180918,-0.225616,0.00319267,-20.1281,33.8871,28.8662,-4.19793,257.896,0.969649,0.00937327,0.979022,0.0149238,-0,-0.108345,
Thu Sep 26 01:14:49 2019,41064631,1081.27,1513,1512,1088,1512,1088,1514,-0.0469513,0.140846,0.9,-0.563385,-0.5,-1.19209e-07,5388,5546,1234,0,30,14,-0.579397,-0.253785,-9.33739,-0.0212845,-0.19901,0.0212845,-20.1281,33.8871,28.8662,-3.55073,258.175,0.829406,0.000213163,0.829619,0.0148189,-0,-0.174931,
Thu Sep 26 01:14:49 2019,41074632,1101.4,1513,1512,1088,1512,1088,1514,-0.0469513,0.140846,0.9,-0.563385,-0.5,-1.19209e-07,5390,5536,1234,0,30,12,-0.842759,-0.124498,-8.96389,0.00212845,-0.135156,0.0468259,-20.1281,33.8871,28.8662,-5.371,258.443,0.682217,-0.0183927,0.663824,0.0147119,-0,-0.178293,
Thu Sep 26 01:14:49 2019,41084633,1101.4,1513,1512,1088,1512,1088,1514,-0.0469513,0.140846,0.9,-0.563385,-0.5,-1.19209e-07,5390,5536,1234,0,30,12,-0.440533,-0.191536,-9.19373,0.0170276,-0.0606608,0.0638535,-20.1281,33.8871,28.8662,-2.74333,258.708,0.528884,-0.0382471,0.490636,0.0145988,-0,-0.188522,
Thu Sep 26 01:14:49 2019,41094634,1101.4,1513,1512,1088,1512,1088,1514,-0.0469513,0.140846,0.9,-0.563385,-0.5,-1.19209e-07,5394,5556,1234,0,28,14,-0.301669,-0.512359,-9.27993,-0.0255414,-0.0117065,0.0734315,-20.1281,33.8871,28.8662,-1.8619,258.981,0.37458,-0.0492813,0.325299,0.0144714,-0,-0.212337,
Thu Sep 26 01:14:49 2019,41104635,1101.4,1513,1512,1088,1512,1088,1514,-0.0469513,0.140846,0.9,-0.563385,-0.5,-1.19209e-07,5394,5556,1234,0,28,14,-0.526724,-0.402226,-9.22246,-0.00744957,0.0670461,0.0989729,-20.1281,33.8871,28.8662,-3.2688,259.245,0.222788,-0.0673552,0.155432,0.0143321,-0,-0.232157,
Thu Sep 26 01:14:49 2019,41114636,1083.12,1513,1512,1088,1512,1088,1514,-0.0469513,0.140846,0.9,-0.563385,-0.5,-1.19209e-07,5388,5550,1232,0,8,30,-0.512359,-0.349553,-9.35654,-0.0266056,0.140478,0.0872664,-20.1281,33.8871,28.8662,-3.13436,259.51,0.0721686,-0.0821893,-0.0100207,0.0141836,-0,-0.247482,
Thu Sep 26 01:14:49 2019,41124637,1083.12,1513,1512,1088,1512,1088,1514,-0.0469513,0.140846,0.9,-0.563385,-0.5,-1.19209e-07,5388,5550,1232,0,8,30,-0.454898,-0.296881,-9.79707,-0.0638535,0.19156,0.108551,-20.1281,33.8871,28.8662,-2.65845,259.782,-0.0774328,-0.0893184,-0.166751,0.0140229,-0,-0.267765,
