today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],Filter accY,Filter accX,Filter accY,Filter gyroY, Filter gyroX, Filter gyroZ,Pitch(acc),Pitch(gyro), Comp Filter,P,I,D,
Thu Sep 26 00:39:58 2019,44185814,1088.42,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5394,5546,1236,0,30,14,-0.612916,-0.129287,-9.65342,0.00957802,-0.0212845,0.0138349,-17.8125,36.5766,32.4961,-0.34422,-0.10879,-9.61203,0.000998995,0.00349597,0.000339573,-0.0593408,-2.05096,-2.1103,0.00916454,0,0.00166214,
Thu Sep 26 00:39:58 2019,44195815,1088.35,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5388,5536,1234,0,8,30,-0.641646,-0.0670376,-9.64863,0.0106422,-0.0170276,0.0106422,-17.8125,36.5766,32.4961,-0.343327,-0.109604,-9.61259,0.00192439,0.00765468,-0.00273466,-0.0561464,-2.04553,-2.10168,0.0247741,0,0.338207,
Thu Sep 26 00:39:58 2019,44205819,1088.35,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5388,5536,1234,0,8,30,-0.593762,-0.047884,-9.57681,0.0138349,-0.0212845,0.00957802,-17.8125,36.5766,32.4961,-0.343565,-0.110229,-9.61317,0.00479987,0.00328708,-0.00350132,-0.0530118,-2.04682,-2.09984,0.0246001,0,-0.00376935,
Thu Sep 26 00:39:58 2019,44215825,1088.35,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5392,5536,1234,0,8,28,-0.617704,-0.186748,-9.39964,0.00957802,-0.0202203,0.00851379,-17.8125,36.5766,32.4961,-0.344795,-0.110715,-9.61347,0.000286872,0.00436824,-0.0041896,-0.0508187,-2.05408,-2.1049,0.0243741,0,-0.00489625,
Thu Sep 26 00:39:58 2019,44225826,1088.35,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5392,5536,1234,0,8,28,-0.612916,-0.0622492,-9.61511,0.00744957,-0.0170276,0.0117065,-15.8531,35.6801,33.3604,-0.346923,-0.111198,-9.6133,-0.00180768,0.00737703,-0.000731584,-0.0474539,-2.06678,-2.11424,0.0241817,0,-0.00416856,
Thu Sep 26 00:39:58 2019,44235827,1088.35,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5394,5554,1232,0,8,28,-0.588974,-0.0957681,-9.64863,0.0148991,-0.0202203,0.0106422,-15.8531,35.6801,33.3604,-0.349856,-0.111604,-9.61298,0.00544458,0.00399428,-0.00163667,-0.0441963,-2.08431,-2.12851,0.0239998,0,-0.00394212,
Thu Sep 26 00:39:58 2019,44245828,1087.23,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5394,5554,1232,0,8,28,-0.612916,-0.11971,-9.44273,0.00744957,-0.0223487,0.0159634,-15.8531,35.6801,33.3604,-0.353488,-0.111907,-9.6126,-0.00219201,0.00190193,0.00364933,-0.0425071,-2.10601,-2.14852,0.0238098,0,-0.00411717,
Thu Sep 26 00:39:58 2019,44255829,1087.23,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5394,5554,1232,0,8,28,-0.588974,-0.196325,-9.61033,0.00319267,-0.019156,0.0106422,-15.8531,35.6801,33.3604,-0.357746,-0.112264,-9.61196,-0.00611736,0.0050702,-0.00170766,-0.0405098,-2.1315,-2.17201,0.0236274,0,-0.00395104,
Thu Sep 26 00:39:58 2019,44265830,1087.23,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5388,5548,1234,0,30,28,-0.526724,-0.143652,-9.64384,0.00851379,-0.0202203,0.0159634,-15.8531,35.6801,33.3604,-0.362478,-0.112785,-9.61125,-0.000524027,0.0038781,0.00357705,-0.0379463,-2.15983,-2.19777,0.0234428,0,-0.00400026,
Thu Sep 26 00:39:58 2019,44275831,1087.23,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5392,5548,1234,0,8,30,-0.56982,-0.11971,-9.70609,0.00957802,-0.019156,0.0148991,-15.8531,35.6801,33.3604,-0.367528,-0.113406,-9.61074,0.000523949,0.00480865,0.00229114,-0.0354577,-2.19,-2.22546,0.0232555,0,-0.00405859,
Thu Sep 26 00:39:58 2019,44285832,1087.03,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5392,5548,1234,0,8,30,-0.560243,-0.0909797,-9.51456,0.0138349,-0.0170276,0.0106422,-15.8531,35.6801,33.3604,-0.372862,-0.113993,-9.6104,0.00453488,0.00665998,-0.00194813,-0.0321722,-2.22184,-2.25401,0.0230616,0,-0.00420061,
Thu Sep 26 00:39:58 2019,44295833,1087.03,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5384,5548,1236,0,28,10,-0.555455,-0.138864,-9.64863,0.00744957,-0.0170276,0.0106422,-15.8531,35.6801,33.3604,-0.378456,-0.114516,-9.61003,-0.00199216,0.00629283,-0.00174778,-0.0284615,-2.25522,-2.28368,0.0228912,0,-0.00369134,
Thu Sep 26 00:39:58 2019,44305834,1087.03,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5384,5548,1236,0,28,10,-0.579397,-0.0957681,-9.71088,0.00957802,-0.0170276,0.0138349,-15.8531,35.6801,33.3604,-0.384269,-0.115,-9.60977,0.000187007,0.00593313,0.00149613,-0.024959,-2.28988,-2.31484,0.0227088,0,-0.00395262,
Thu Sep 26 00:39:58 2019,44315835,1087.03,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5392,5550,1234,0,8,28,-0.512359,-0.177171,-9.5385,0.00212845,-0.0180918,0.0106422,-15.8531,35.6801,33.3604,-0.390238,-0.115488,-9.6097,-0.00698172,0.0045636,-0.00164928,-0.0219519,-2.32544,-2.34739,0.022529,0,-0.003896,
Thu Sep 26 00:39:58 2019,44325836,1087.03,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5392,5550,1234,0,8,28,-0.612916,-0.0622492,-9.44752,0.0106422,-0.0202203,0.0127707,-15.8531,35.6801,33.3604,-0.39632,-0.115983,-9.60944,0.00175512,0.00227523,0.000568848,-0.0199927,-2.3617,-2.38169,0.0223453,0,-0.00397934,
Thu Sep 26 00:39:58 2019,44335837,1087.03,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5392,5550,1234,0,8,28,-0.526724,-0.0909797,-9.56244,0.00744957,-0.0202203,0.0127707,-15.8531,35.6801,33.3604,-0.402526,-0.116368,-9.60878,-0.00145514,0.00220874,0.000560323,-0.0187082,-2.3988,-2.41751,0.0221893,0,-0.00338072,
Thu Sep 26 00:39:58 2019,44345838,1087.08,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5382,5532,1234,0,30,12,-0.584185,-0.0574608,-9.51935,0.00212845,-0.0180918,0.0138349,-15.8531,35.6801,33.3604,-0.408809,-0.116565,-9.60786,-0.0064231,0.00417556,0.00156841,-0.0168792,-2.43644,-2.45332,0.0220186,0,-0.00369735,
