today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG, acc_filt, gyr_filt, com_filt, kpe(P)=0.003, kiei(I)=1e-09, kded(D)=0.0006,
Thu Sep 26 01:36:31 2019,13217044,0,1513,1510,1088,1512,1088,1514,-0.0469513,0.281685,0.9,-0.563385,-0.5,-1.19209e-07,5404,5540,1234,0,26,28,0.220267,0.100556,-10.1323,0.032991,-0.107487,0.00106422,-22.8,32.632,31.8047,1.24537,0.317272,0.00117532,0.303491,0.304666,7.71429e+30,1.28571e+22,1.54286e+32,
Thu Sep 26 01:36:31 2019,13227045,1072.29,1513,1510,1088,1512,1088,1514,-0.0469513,0.281685,0.9,-0.563385,-0.5,-1.19209e-07,5404,5540,1234,0,26,28,0.225055,0.105345,-9.9503,0.042569,-0.131964,-0.00532112,-22.8,32.632,31.8047,1.29569,0.610763,0.00581977,0.557297,0.563117,0.072852,-1.28571e+22,-1.54286e+32,
Thu Sep 26 01:36:31 2019,13237048,1072.29,1513,1510,1088,1512,1088,1514,-0.0469513,0.281685,0.9,-0.563385,-0.5,-1.19209e-07,5402,5540,1234,0,28,28,0.244209,-0.129287,-10.2185,0.0127707,-0.167083,-0.0159634,-22.8,32.632,31.8047,1.36904,0.907303,0.0149605,0.790347,0.805307,0.0723741,-7.96471e-13,-0.00955765,
Thu Sep 26 01:36:31 2019,13247049,1072.29,1513,1510,1088,1512,1088,1514,-0.0469513,0.281685,0.9,-0.563385,-0.5,-1.19209e-07,5402,5540,1234,0,28,28,0.11971,0.167594,-9.92636,0.0180918,-0.19156,-0.0308625,-22.8,32.632,31.8047,0.690944,1.20079,0.027727,0.997691,1.02542,0.0718096,-9.40752e-13,-0.011289,
Thu Sep 26 01:36:31 2019,13257050,1072.29,1513,1510,1088,1512,1088,1514,-0.0469513,0.281685,0.9,-0.563385,-0.5,-1.19209e-07,5400,5550,1234,0,28,28,0.215478,0.177171,-9.84975,0.0297983,-0.214973,-0.0446974,-22.8,32.632,31.8047,1.25323,1.49398,0.0430828,1.18336,1.22644,0.0713457,-7.73287e-13,-0.00927944,
Thu Sep 26 01:36:31 2019,13267051,1072.29,1513,1510,1088,1512,1088,1514,-0.0469513,0.281685,0.9,-0.563385,-0.5,-1.19209e-07,5400,5550,1234,0,28,28,0.0766145,0.0191536,-9.77313,0.0170276,-0.244772,-0.042569,-22.8,32.632,31.8047,0.44915,1.789,0.0604124,1.35053,1.41094,0.0709056,-7.33423e-13,-0.00880108,
Thu Sep 26 01:36:31 2019,13277052,1070.82,1513,1510,1088,1512,1088,1940,-0.0469513,0.281685,0.9,-0.563385,-0.5,0.5,5396,5538,1234,0,30,26,0.0670376,-0.0622492,-9.56244,0.00957802,-0.257542,-0.0393763,-22.8,32.632,31.8047,0.401667,2.07913,0.0784509,1.49373,1.57218,0.0705328,-6.21405e-13,-0.00745686,
Thu Sep 26 01:36:31 2019,13287053,1070.82,1513,1510,1088,1512,1088,1940,-0.0469513,0.281685,0.9,-0.563385,-0.5,0.5,5396,5538,1234,0,30,26,0.138864,-0.143652,-9.56244,-0.0127707,-0.26712,-0.0361836,-22.8,32.632,31.8047,0.831979,2.36836,0.0966275,1.61824,1.71487,0.0701945,-5.63698e-13,-0.00676437,
Thu Sep 26 01:36:31 2019,13297054,1070.82,1513,1510,1088,1512,1088,1940,-0.0469513,0.281685,0.9,-0.563385,-0.5,0.5,5414,5540,1234,0,28,28,0.100556,-0.110133,-9.54808,-0.0297983,-0.283084,-0.0234129,-22.8,32.632,31.8047,0.603394,2.65941,0.115413,1.72782,1.84323,0.0698753,-5.32007e-13,-0.00638409,
Thu Sep 26 01:36:31 2019,13307055,1070.82,1513,1510,1088,1512,1088,1940,-0.0469513,0.281685,0.9,-0.563385,-0.5,0.5,5414,5540,1234,0,28,28,0.0191536,0.0526724,-9.32302,-0.019156,-0.284148,-0.00744957,-22.8,32.632,31.8047,0.117711,2.94619,0.134202,1.81747,1.95168,0.0695621,-5.2206e-13,-0.00626473,
Thu Sep 26 01:36:31 2019,13317056,1071.85,1513,1510,1088,1512,1088,1940,-0.0469513,0.281685,0.9,-0.563385,-0.5,0.5,5400,5546,1234,0,30,26,-0.0814029,-0.0814029,-9.71088,-0.019156,-0.276698,-0.00532112,-22.8,32.632,31.8047,-0.480279,3.23054,0.151226,1.89032,2.04154,0.0692399,-5.36957e-13,-0.00644348,
Thu Sep 26 01:36:31 2019,13327057,1071.85,1513,1510,1088,1512,1088,1940,-0.0469513,0.281685,0.9,-0.563385,-0.5,0.5,5400,5546,1234,0,30,26,-0.153229,-0.0191536,-9.61511,-0.0468259,-0.262863,0.0127707,-22.8,32.632,31.8047,-0.913004,3.51305,0.164576,1.94809,2.11266,0.0689269,-5.21679e-13,-0.00626015,
Thu Sep 26 01:36:31 2019,13337058,1071.85,1513,1510,1088,1512,1088,1940,-0.0469513,0.281685,0.9,-0.563385,-0.5,0.5,5392,5536,1230,0,26,28,-0.220267,0.105345,-9.47625,-0.0287341,-0.250093,0.0202203,-22.8,32.632,31.8047,-1.33155,3.79588,0.172736,1.99388,2.16662,0.0686079,-5.3174e-13,-0.00638088,
Thu Sep 26 01:36:31 2019,13347059,1071.85,1513,1510,1088,1512,1088,1940,-0.0469513,0.281685,0.9,-0.563385,-0.5,0.5,5392,5536,1230,0,26,28,-0.339977,0.248997,-9.42837,-0.00638535,-0.20646,0.0255414,-22.8,32.632,31.8047,-2.06513,4.06985,0.174227,2.0198,2.19403,0.0682599,-5.7992e-13,-0.00695904,
Thu Sep 26 01:36:31 2019,13357060,1071.85,1513,1510,1088,1512,1088,1940,-0.0469513,0.281685,0.9,-0.563385,-0.5,0.5,5396,5546,1234,0,28,28,-0.378284,0.0335188,-9.7444,0.00851379,-0.172404,0.0244772,-22.8,32.632,31.8047,-2.22314,4.34658,0.167681,2.03852,2.2062,0.0678625,-6.62413e-13,-0.00794895,
Thu Sep 26 01:36:31 2019,13367061,1071.85,1513,1510,1088,1512,1088,1940,-0.0469513,0.281685,0.9,-0.563385,-0.5,0.5,5396,5546,1234,0,28,28,-0.402226,-0.0814029,-9.56723,0.0106422,-0.140478,0.032991,-22.8,32.632,31.8047,-2.40742,4.62391,0.15264,2.04853,2.20117,0.0674451,-6.95581e-13,-0.00834698,
Thu Sep 26 01:36:31 2019,13377062,1071.92,1513,1510,1088,1512,1088,1940,-0.0469513,0.281685,0.9,-0.563385,-0.5,0.5,5410,5556,1234,0,26,28,-0.47884,0.191536,-9.29908,0.0106422,-0.0904591,0.0287341,-22.8,32.632,31.8047,-2.94775,4.89606,0.128878,2.04501,2.17388,0.0669923,-7.54786e-13,-0.00905743,
Thu Sep 26 01:36:31 2019,13387066,1071.92,1513,1510,1088,1512,1088,1940,-0.0469513,0.281685,0.9,-0.563385,-0.5,0.5,5410,5556,1234,0,26,28,-0.54109,0.325611,-9.47625,0.0287341,-0.052147,0.0361836,-22.8,32.632,31.8047,-3.26802,5.17156,0.0957286,2.03726,2.13299,0.0664657,-8.77542e-13,-0.0105305,
Thu Sep 26 01:36:31 2019,13397067,1071.92,1513,1510,1088,1512,1088,1940,-0.0469513,0.281685,0.9,-0.563385,-0.5,0.5,5400,5556,1238,0,28,28,-0.565032,0.105345,-9.56244,0.0297983,-0.0159634,0.0404405,-20.4844,33.5285,31.9775,-3.3816,5.44768,0.052893,2.02308,2.07597,0.0658523,-1.02233e-12,-0.012268,
