today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG, acc_filt, gyr_filt, com_filt, kpe(P)=0.0035, kiei(I)=5e-10, kded(D)=0.00048,signal, mad_pitch
Thu Sep 26 02:39:07 2019,6539331,0,1513,1510,1088,1512,1088,1514,-0.0469513,0.281685,0.9,-0.563385,-0.5,-1.19209e-07,5396,5560,1234,0,28,26,-0.301669,-0.177171,-9.29429,0.0936517,-0.776884,-0.052147,-26.3625,32.9906,26.2734,-1.85903,0.50904,-0.00175447,0.48693,0.485175,8.67168e+30,6.19406e+21,1.18926e+32,0.281685,0,
Thu Sep 26 02:39:07 2019,6549332,1042.96,1513,1510,1088,1512,1088,1514,-0.0469513,0.281685,0.9,-0.563385,-0.5,-1.19209e-07,5396,5560,1234,0,28,26,-0.411803,-0.0670376,-9.2081,0.101101,-0.737507,-0.0457616,-26.3625,32.9906,26.2734,-2.56067,0.784239,-0.00927878,0.706956,0.697677,0.191101,-6.19406e+21,-1.18926e+32,0.281685,-54.3187,
Thu Sep 26 02:39:07 2019,6559336,1042.96,1513,1510,1088,1512,1088,1514,-0.0469513,0.281685,0.9,-0.563385,-0.5,-1.19209e-07,5396,5560,1234,0,28,26,-0.325611,-0.0383072,-9.5385,0.112808,-0.669397,-0.0351194,-26.3625,32.9906,26.2734,-1.95512,1.05121,-0.0245615,0.897741,0.87318,0.190811,-2.07548e-13,-0.00398492,0.281685,-54.2357,
Thu Sep 26 02:39:07 2019,6569337,1042.96,1513,1510,1088,1512,1088,1514,-0.0469513,0.281685,0.9,-0.563385,-0.5,-1.19209e-07,5368,5532,1234,0,28,28,-0.292093,-0.220267,-9.77792,0.124514,-0.620443,-0.0212845,-26.3625,32.9906,26.2734,-1.71107,1.32366,-0.0461746,1.07417,1.028,0.191377,4.04644e-13,0.00776916,0.281685,-54.3976,
Thu Sep 26 02:39:07 2019,6579338,1042.96,1513,1510,1088,1512,1088,1514,-0.0469513,0.281685,0.9,-0.563385,-0.5,-1.19209e-07,5368,5532,1234,0,28,28,-0.560243,-0.397437,-9.77792,0.118129,-0.562975,0.0117065,-26.3625,32.9906,26.2734,-3.27928,1.59368,-0.0739462,1.22922,1.15528,0.192024,4.61597e-13,0.00886267,0.281685,-54.5822,
Thu Sep 26 02:39:07 2019,6589339,1042.96,1513,1510,1088,1512,1088,1514,-0.0469513,0.281685,0.9,-0.563385,-0.5,-1.19209e-07,5382,5540,1232,0,28,28,-0.694318,-0.464475,-9.80665,0.10323,-0.500185,0.0287341,-26.3625,32.9906,26.2734,-4.04983,1.86217,-0.110705,1.365,1.25429,0.192777,5.38492e-13,0.010339,0.281685,-54.7976,
Thu Sep 26 02:39:07 2019,6599340,1042.58,1513,1510,1088,1512,1088,1514,-0.0469513,0.281685,0.9,-0.563385,-0.5,-1.19209e-07,5388,5536,1236,0,28,28,-0.54109,-0.483629,-9.79707,0.0915233,-0.443782,0.0553397,-26.3625,32.9906,26.2734,-3.16122,2.13249,-0.157645,1.48583,1.32819,0.193639,6.15711e-13,0.0118217,0.281685,-55.0439,
Thu Sep 26 02:39:07 2019,6609341,1042.58,1513,1510,1088,1512,1088,1514,-0.0469513,0.281685,0.9,-0.563385,-0.5,-1.19209e-07,5388,5536,1236,0,28,28,-0.723049,-0.387861,-9.72046,0.0883306,-0.392699,0.0862022,-26.3625,32.9906,26.2734,-4.25407,2.40433,-0.213804,1.59225,1.37844,0.194619,6.99949e-13,0.013439,0.281685,-55.3239,
Thu Sep 26 02:39:07 2019,6619342,1042.58,1513,1510,1088,1512,1088,1514,-0.0469513,0.281685,0.9,-0.563385,-0.5,-1.19209e-07,5388,5548,1234,0,28,30,-0.943315,-0.555455,-9.70609,0.0893948,-0.346937,0.101101,-26.3625,32.9906,26.2734,-5.55103,2.6777,-0.280635,1.68506,1.40443,0.195695,7.6827e-13,0.0147508,0.281685,-55.6312,
Thu Sep 26 02:39:07 2019,6629343,1042.58,1513,1510,1088,1512,1088,1514,-0.0469513,0.281685,0.9,-0.563385,-0.5,-1.19209e-07,5388,5548,1234,0,28,30,-0.933739,-0.440533,-9.51935,0.0883306,-0.306497,0.117065,-26.3625,32.9906,26.2734,-5.60214,2.9526,-0.360506,1.76509,1.40458,0.196855,8.28514e-13,0.0159075,0.281685,-55.9626,
Thu Sep 26 02:39:07 2019,6639344,1042.01,1513,1510,1088,1512,1088,1514,-0.0469513,0.281685,0.9,-0.563385,-0.5,-1.19209e-07,5388,5548,1234,0,28,30,-1.02472,-0.383072,-9.43315,0.0766241,-0.287341,0.122386,-26.3625,32.9906,26.2734,-6.1997,3.23359,-0.453893,1.83749,1.38359,0.198096,8.86803e-13,0.0170266,0.281685,-56.3173,
Thu Sep 26 02:39:07 2019,6649345,1042.01,1513,1510,1088,1512,1088,1514,-0.0469513,0.281685,0.9,-0.563385,-0.5,-1.19209e-07,5380,5546,1232,0,30,28,-1.13485,-0.316035,-9.3326,0.071303,-0.26712,0.12345,-26.3625,32.9906,26.2734,-6.93318,3.51427,-0.561163,1.8965,1.33534,0.199388,9.22241e-13,0.017707,0.281685,-56.6862,
Thu Sep 26 02:39:07 2019,6659346,1042.01,1513,1510,1088,1512,1088,1514,-0.0469513,0.281685,0.9,-0.563385,-0.5,-1.19209e-07,5380,5546,1232,0,30,28,-1.17795,-0.363919,-9.25119,0.052147,-0.253285,0.112808,-26.3625,32.9906,26.2734,-7.25638,3.79679,-0.682984,1.94509,1.26211,0.200713,9.46808e-13,0.0181787,0.281685,-57.0649,
Thu Sep 26 02:39:07 2019,6669347,1042.01,1513,1510,1088,1512,1088,1514,-0.0469513,0.281685,0.9,-0.563385,-0.5,-1.19209e-07,5394,5546,1230,0,28,26,-1.22104,-0.292093,-9.31344,0.0436332,-0.241579,0.0915233,-26.3625,32.9906,26.2734,-7.46919,4.07992,-0.819162,1.98279,1.16363,0.20207,9.69048e-13,0.0186057,0.281685,-57.4525,
Thu Sep 26 02:39:07 2019,6679348,1042.01,1513,1510,1088,1512,1088,1514,-0.0469513,0.281685,0.9,-0.563385,-0.5,-1.19209e-07,5388,5536,1234,0,26,28,-1.20189,-0.373495,-9.40921,0.0255414,-0.217102,0.0681104,-26.3625,32.9906,26.2734,-7.27928,4.35938,-0.968492,2.0063,1.03781,0.203451,9.86366e-13,0.0189382,0.281685,-57.8471,
Thu Sep 26 02:39:07 2019,6689349,1042.01,1513,1510,1088,1512,1088,1514,-0.0469513,0.281685,0.9,-0.563385,-0.5,-1.19209e-07,5388,5536,1234,0,26,28,-1.21147,-0.588974,-9.42358,0.00744957,-0.196881,0.0340552,-26.3625,32.9906,26.2734,-7.32559,4.64007,-1.12918,2.02141,0.892234,0.204874,1.01636e-12,0.0195141,0.281685,-58.2536,
Thu Sep 26 02:39:07 2019,6699350,1043.08,1513,1510,1088,1512,1088,1514,-0.0469513,0.281685,0.9,-0.563385,-0.5,-1.19209e-07,5388,5536,1234,0,26,28,-1.16837,-0.521936,-9.50498,-0.0202203,-0.172404,-0.00319267,-26.3625,32.9906,26.2734,-7.00776,4.91954,-1.29926,2.02644,0.727183,0.206337,1.04566e-12,0.0200766,0.281685,-58.6719,
Thu Sep 26 02:39:07 2019,6709351,1043.08,1513,1510,1088,1512,1088,1514,-0.0469513,0.281685,0.9,-0.563385,-0.5,-1.19209e-07,5356,5534,1232,0,28,26,-1.06781,-0.344765,-9.56244,-0.0266056,-0.144735,-0.0234129,-26.3625,32.9906,26.2734,-6.37169,5.19809,-1.47613,2.02251,0.546384,0.207859,1.08684e-12,0.0208672,0.281685,-59.1066,
Thu Sep 26 02:39:07 2019,6719352,1043.08,1513,1510,1088,1512,1088,1514,-0.0469513,0.281685,0.9,-0.563385,-0.5,-1.19209e-07,5390,5550,1234,0,28,28,-0.885855,-0.301669,-9.69652,-0.0170276,-0.12345,-0.0542754,-26.3625,32.9906,26.2734,-5.21994,5.47847,-1.65596,2.01303,0.35707,0.20944,1.12917e-12,0.0216801,0.281685,-59.5583,
Thu Sep 26 02:39:07 2019,6729353,1043.08,1513,1510,1088,1512,1088,1514,-0.0469513,0.281685,0.9,-0.563385,-0.5,-1.19209e-07,5390,5550,1234,0,28,28,-0.818817,-0.244209,-9.77313,-0.00957802,-0.0968444,-0.0649177,-26.3625,32.9906,26.2734,-4.7892,5.75733,-1.83465,1.99531,0.160653,0.211076,1.16868e-12,0.0224387,0.281685,-60.0258,
