today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG, acc_filt, gyr_filt, com_filt, kpe(P)=0.0035, kiei(I)=0, kded(D)=0.00048,signal, mad_pitch
Thu Sep 26 02:46:20 2019,7431543,0,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5404,5558,1240,0,28,28,-4.47716,-0.253785,-7.94396,0.0744957,2.4392,0.0883306,41.6813,34.425,20.3965,-29.4053,-0.412301,-0.0277514,-0.394393,-0.422144,8.99335e+30,0,1.23337e+32,0.281685,0,
Thu Sep 26 02:46:20 2019,7441544,1040.39,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5392,5546,1238,0,28,30,-4.42927,-0.47884,-8.03973,0.0649177,2.42005,0.0819453,41.6813,34.425,20.3965,-28.8514,-0.120334,-0.135771,-0.0801021,-0.215873,0.0340888,-0,-1.23337e+32,0.281685,-9.45797,
Thu Sep 26 02:46:20 2019,7451547,1040.39,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5392,5546,1238,0,28,30,-4.17549,-0.531513,-8.18338,0.0468259,2.3977,0.0659819,41.6813,34.425,20.3965,-27.0325,0.172547,-0.341819,0.208657,-0.133163,0.0318836,-0,-0.0302432,0.281685,-8.8279,
Thu Sep 26 02:46:20 2019,7461548,1040.39,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5392,5546,1238,0,28,30,-4.08451,-0.47884,-8.30309,0.0202203,2.35832,0.0606608,41.6813,34.425,20.3965,-26.1938,0.470307,-0.63204,0.476754,-0.155286,0.0284013,-0,-0.0477572,0.281685,-7.83296,
Thu Sep 26 02:46:20 2019,7471549,1040.39,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5396,5554,1234,0,28,28,-3.89297,-0.339977,-8.19296,0.00532112,2.32959,0.0606608,41.6813,34.425,20.3965,-25.4153,0.765018,-0.99415,0.717352,-0.276798,0.025155,-0,-0.0445205,0.281685,-6.90545,
Thu Sep 26 02:46:20 2019,7481550,1040.39,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5394,5538,1230,0,28,28,-3.58173,-0.344765,-8.49463,-0.0180918,2.30298,0.0308625,41.6813,34.425,20.3965,-22.8625,1.05912,-1.416,0.934212,-0.48179,0.0219593,-0,-0.043827,0.281685,-5.99239,
Thu Sep 26 02:46:20 2019,7491551,1041.48,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5394,5538,1230,0,28,28,-3.25611,-0.296881,-8.40844,-0.0223487,2.26573,0.0223487,41.6813,34.425,20.3965,-21.1686,1.35627,-1.88378,1.13203,-0.751743,0.0188028,-0,-0.0432885,0.281685,-5.09055,
Thu Sep 26 02:46:20 2019,7501552,1041.48,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5394,5538,1230,0,28,28,-3.08852,-0.153229,-8.59997,-0.0266056,2.2221,0.0180918,41.6813,34.425,20.3965,-19.7548,1.65525,-2.38486,1.31052,-1.07434,0.015707,-0,-0.0424575,0.281685,-4.20602,
Thu Sep 26 02:46:20 2019,7511553,1041.48,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5392,5550,1234,0,28,28,-2.71502,-0.0766145,-8.82982,-0.0159634,2.19337,0.00851379,41.6813,34.425,20.3965,-17.0918,1.94996,-2.90776,1.4648,-1.44295,0.0126716,-0,-0.0416281,0.281685,-3.33877,
Thu Sep 26 02:46:20 2019,7521554,1041.48,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5394,5548,1238,0,28,28,-2.39899,-0.407014,-9.07402,0.0117065,2.14016,0.0106422,41.6813,34.425,20.3965,-14.809,2.25168,-3.44012,1.60716,-1.83296,0.00967373,-0,-0.0411134,0.281685,-2.48224,
