date,currenttime,ax,ay,az,gx,gy,gz,mx,my,mz
Sun Feb  4 04:19:03 2018,0,0.0430956,0.220267,-10.4818,0.00319267,-0.0170276,0.0106422,-3865.13,27.0563,36.1102
Sun Feb  4 04:19:03 2018,500753,0.0957681,0.196325,-10.2807,0.00744957,-0.0138349,0.00638535,10.0254,10.4062,35.2781
Sun Feb  4 04:19:03 2018,1001409,0.071826,0.268151,-10.3669,0.00532112,-0.019156,0.00851379,9.85254,10.2328,34.7789
Sun Feb  4 04:19:03 2018,1502053,0.0335188,0.234632,-10.3621,0.00212845,-0.019156,0.0117065,9.85254,10.2328,34.7789
Sun Feb  4 04:19:03 2018,2002699,0.416591,-0.0191536,-11.2001,0.00744957,-0.0404405,-0.0585323,9.85254,10.2328,34.7789
Sun Feb  4 04:19:03 2018,2503345,-7.06289,-1.30723,-13.2304,0.0170276,-0.0510828,0.282019,9.85254,10.2328,34.7789
Sun Feb  4 04:19:03 2018,3004015,-3.5913,6.99586,-9.72046,0.0106422,0.0042569,-0.405469,9.85254,10.2328,34.7789
Sun Feb  4 04:19:03 2018,3504675,0.253785,0.612916,-10.4483,0,-0.00851379,0.00851379,10.0254,12.4875,33.6141
Sun Feb  4 04:19:03 2018,4010237,-1.05345,-7.39329,-9.83538,0.0297983,-0.00532112,0.0553397,8.64258,14.9156,33.9469
Sun Feb  4 04:19:03 2018,4510914,0.177171,0.445322,-10.4244,0.00957802,-0.0138349,0.0106422,8.98828,11.7938,34.9453
Sun Feb  4 04:19:03 2018,5011563,0.162806,0.21069,-10.1849,0.00532112,-0.0138349,0.00851379,9.33398,12.8344,35.9438
Sun Feb  4 04:19:03 2018,5512204,7.30232,-0.622492,-11.066,-0.116,0.396956,-0.385249,9.33398,12.8344,35.9438
Sun Feb  4 04:19:03 2018,6012984,-0.00957681,0.196325,-10.3382,0.0117065,-0.0106422,0.0138349,6.91406,12.8344,35.6109
Sun Feb  4 04:19:03 2018,6513688,0.0574608,0.191536,-10.1418,0.00106422,-0.0170276,0.00957802,6.91406,12.8344,35.6109
Sun Feb  4 04:19:03 2018,7014393,-0.363919,-3.02148,-10.6063,0.00638535,-0.0500185,-0.0893948,6.56836,14.5688,36.2766
Sun Feb  4 04:19:03 2018,7515091,-0.354342,1.54665,-9.37569,-0.0532112,-0.0127707,-0.0148991,5.3584,7.80469,37.7742
Sun Feb  4 04:19:03 2018,8015839,-0.023942,0.234632,-10.0078,0.00106422,-0.0148991,0.00851379,5.3584,6.07031,39.1055
Sun Feb  4 04:19:03 2018,8516584,0.0191536,0.373495,-10.3382,-0.0106422,-0.00851379,0.00851379,5.7041,7.45781,38.107
Sun Feb  4 04:19:03 2018,9046505,0.181959,0.172383,-10.3238,0.00638535,-0.0148991,0.0106422,6.91406,7.97813,38.2734
Sun Feb  4 04:19:03 2018,9547209,0.0622492,0.220267,-10.1993,-0.00106422,-0.019156,0.0117065,7.25977,6.59063,38.2734
Sun Feb  4 04:19:03 2018,10047859,0.0526724,0.258574,-10.319,0.0042569,-0.0117065,0.0138349,8.46973,6.76406,37.4414
Sun Feb  4 04:19:03 2018,10548516,0.0670376,0.21069,-10.2185,0.00212845,-0.0127707,0.00638535,6.39551,7.80469,38.107
Sun Feb  4 04:19:03 2018,11049217,0.0287304,0.153229,-9.99819,0.00851379,-0.00744957,0.00957802,6.91406,7.28438,37.275
Sun Feb  4 04:19:03 2018,11549936,0.0191536,0.196325,-10.2424,0.00212845,-0.0106422,0.0117065,6.91406,7.28438,37.275
Sun Feb  4 04:19:03 2018,12050608,0.114922,0.196325,-10.228,0.00744957,-0.0180918,0.00957802,6.91406,7.97813,38.2734
Sun Feb  4 04:19:03 2018,12551265,0.114922,0.181959,-10.2903,0.0042569,-0.0138349,0.00744957,6.91406,7.97813,38.2734
Sun Feb  4 04:19:03 2018,13051925,0.105345,0.229843,-10.2041,0.00744957,-0.0127707,0.00851379,5.7041,7.11094,37.7742
