today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],time,angDes,angAct,rateDes,rateDes_f,Kp1D,Kp2D,Kp1,Kp2,mRac
Sun Sep 23 20:21:53 2018,194234838,683.914,1518,1514,1088,1514,1940,1514,0.18779,-7.62939e-06,0.0999999,-2.38419e-07,20,-1.19209e-07,5162,9996,70,18,0,1094,0.124498,0.383072,10.1706,0.119193,-0.042569,-0.00957802,16.8539,5.775,-62.4375,194.235,20,62.811,-4.28109,-2.56756,-0.0055882,-0.000602031,-2.98082,0.356132,10.3206,
Sun Sep 23 20:21:53 2018,194244839,683.914,1518,1514,1088,1514,1940,1514,0.18779,-7.62939e-06,0.0999999,-2.38419e-07,20,-1.19209e-07,5134,9996,48,8,0,1090,0.0814029,0.387861,10.1514,0.094716,-0.0457616,-0.0117065,16.8539,5.775,-62.4375,194.245,20,4.30283,1.56972,-2.57007,-0.000320542,-0.000422138,-2.98082,0.356128,0.203726,
Sun Sep 23 20:21:53 2018,194254842,683.914,1518,1514,1088,1514,1940,1514,0.18779,-7.62939e-06,0.0999999,-2.38419e-07,20,-1.19209e-07,5134,9996,48,8,0,1090,0.00957681,0.387861,10.161,0.0532112,-0.042569,-0.0202203,16.8539,5.775,-62.4375,194.255,20,4.38848,1.56115,-2.57255,-0.000252633,-0.0004164,-2.98082,0.356124,0.273631,
Sun Sep 23 20:21:53 2018,194264843,683.914,1518,1514,1088,1514,1940,1514,0.18779,-7.62939e-06,0.0999999,-2.38419e-07,20,-1.19209e-07,5168,9996,68,18,0,1092,-0.0861913,0.349553,10.2185,0.0180918,-0.0361836,-0.019156,16.8539,5.775,-62.4375,194.265,20,4.50008,1.54999,-2.57498,-0.000139849,-0.000407367,-2.98083,0.35612,0.393369,
Sun Sep 23 20:21:53 2018,194274844,679.274,1518,1514,1088,1514,1940,1514,0.18779,-7.62939e-06,0.0999999,-2.38419e-07,20,-1.19209e-07,5168,9996,68,18,0,1092,-0.0430956,0.392649,10.343,-0.0202203,-0.0297983,-0.019156,16.8539,5.775,-62.4375,194.275,20,4.58619,1.54138,-2.57735,-4.69563e-05,-0.000400056,-2.98083,0.356116,0.494981,
Sun Sep 23 20:21:53 2018,194284845,679.274,1518,1514,1088,1514,1940,1514,0.18779,-7.62939e-06,0.0999999,-2.38419e-07,20,-1.19209e-07,5152,9996,70,8,0,1088,0.110133,0.507571,10.1849,-0.061725,-0.0308625,-0.0159634,16.8539,5.775,-62.4375,194.285,20,4.6496,1.53504,-2.57967,5.17528e-05,-0.000392886,-2.98083,0.356112,0.606918,
Sun Sep 23 20:21:53 2018,194294846,679.274,1518,1514,1088,1514,1940,1514,0.18779,-7.62939e-06,0.0999999,-2.38419e-07,20,-1.19209e-07,5152,9996,70,8,0,1088,0.11971,0.42138,10.2185,-0.0989729,-0.0255414,-0.00744957,16.8539,5.775,-62.4375,194.295,20,4.69003,1.531,-2.58195,0.000155561,-0.000385845,-2.98082,0.356108,0.729191,
Sun Sep 23 20:21:53 2018,194304847,679.274,1518,1514,1088,1514,1940,1514,0.18779,-7.62939e-06,0.0999999,-2.38419e-07,20,-1.19209e-07,5152,9996,48,18,0,1090,0.143652,0.47884,10.0987,-0.133028,-0.032991,-0.00532112,17.7504,5.59453,-59.1422,194.305,20,4.70882,1.52912,-2.58417,0.000245967,-0.000380015,-2.98082,0.356104,0.839545,
Sun Sep 23 20:21:53 2018,194314848,684.288,1518,1514,1088,1514,1940,1514,0.18779,-7.62939e-06,0.0999999,-2.38419e-07,20,-1.19209e-07,5152,9996,48,18,0,1090,0.162806,0.517148,10.0461,-0.177725,-0.0361836,0.00212845,17.7504,5.59453,-59.1422,194.315,20,4.7037,1.52963,-2.58634,0.000326359,-0.000375265,-2.98082,0.3561,0.941234,
Sun Sep 23 20:21:53 2018,194324849,684.288,1518,1514,1088,1514,1940,1514,0.18779,-7.62939e-06,0.0999999,-2.38419e-07,20,-1.19209e-07,5150,9996,48,20,0,1092,-0.00957681,0.56982,10.1658,-0.218166,-0.0319267,-0.00212845,17.7504,5.59453,-59.1422,194.325,20,4.67624,1.53237,-2.58846,0.000428448,-0.000369415,-2.98081,0.356097,1.07544,
