today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],time,angDes,angAct,rateDes,rateDes_f,Kp1D,Kp2D,Kp1,Kp2,mRac
Sun Sep 23 20:13:16 2018,10780756,0,1518,1514,1524,1514,1088,1514,0.18779,-7.62939e-06,0.816432,-2.38419e-07,-1.90735e-06,-1.19209e-07,5174,9996,48,8,0,1092,0.0430956,0.440533,10.1227,-0.00957802,-0.0383121,0.00106422,19.0055,6.13594,-60.7031,10.7808,7.00649e-45,0,7.20051e-07,7.068e-12,0,5.08932e-22,0,5.08932e-24,3.66457e-30,
Sun Sep 23 20:13:16 2018,10790757,683.167,1518,1514,1524,1514,1088,1514,0.18779,-7.62939e-06,0.816432,-2.38419e-07,-1.90735e-06,-1.19209e-07,5174,9996,48,8,0,1092,0.0335188,0.502782,10.0796,-0.00851379,-0.0361836,0.0042569,19.0055,6.13594,-60.7031,10.7908,-1.90735e-06,15.5961,-12.7331,-0.000124988,-9.05413e-08,-1.20367e-05,-9.05413e-10,-1.20367e-07,1.53265e-06,
Sun Sep 23 20:13:16 2018,10800760,683.167,1518,1514,1524,1514,1088,1514,0.18779,-7.62939e-06,0.816432,-2.38419e-07,-1.90735e-06,-1.19209e-07,5148,9996,48,18,0,1088,0.105345,0.536301,10.1993,-0.00532112,-0.0393763,-0.00212845,19.0055,6.13594,-60.7031,10.8008,-1.90735e-06,15.6562,-12.7822,-0.000624311,-6.71694e-08,-1.00845e-05,-1.57711e-09,-2.21211e-07,2.82758e-06,
Sun Sep 23 20:13:16 2018,10810761,683.167,1518,1514,1524,1514,1088,1514,0.18779,-7.62939e-06,0.816432,-2.38419e-07,-1.90735e-06,-1.19209e-07,5148,9996,48,18,0,1088,0.071826,0.550666,10.1227,-0.00319267,-0.032991,0.00106422,19.0055,6.13594,-60.7031,10.8108,-1.90735e-06,15.6669,-12.7909,-0.00162068,-1.96905e-08,-4.73321e-06,-1.77401e-09,-2.68543e-07,3.43493e-06,
Sun Sep 23 20:13:16 2018,10820762,683.167,1518,1514,1524,1514,1088,1514,0.18779,-7.62939e-06,0.816432,-2.38419e-07,-1.90735e-06,-1.19209e-07,5160,9996,68,46,0,1090,-0.023942,0.474052,10.1514,-0.00851379,-0.0393763,-0.00319267,19.0055,6.13594,-60.7031,10.8208,-1.90735e-06,15.678,-12.8001,-0.0031104,-2.62679e-10,-1.05313e-07,-1.77664e-09,-2.69597e-07,3.45086e-06,
Sun Sep 23 20:13:16 2018,10830763,683.167,1518,1514,1524,1514,1088,1514,0.18779,-7.62939e-06,0.816432,-2.38419e-07,-1.90735e-06,-1.19209e-07,5160,9996,68,46,0,1090,-0.0287304,0.440533,10.0652,-0.00319267,-0.0351194,-0.0042569,19.0055,6.13594,-60.7031,10.8308,-1.90735e-06,15.6875,-12.8078,-0.00508939,-2.91547e-08,-4.3859e-06,-2.06819e-09,-3.13456e-07,4.01469e-06,
Sun Sep 23 20:13:16 2018,10840764,683.653,1518,1514,1524,1514,1088,1514,0.18779,-7.62939e-06,0.816432,-2.38419e-07,-1.90735e-06,-1.19209e-07,5148,9996,48,18,0,1088,-0.047884,0.507571,10.1754,-0.0042569,-0.0276698,-0.00744957,19.0055,6.13594,-60.7031,10.8408,-1.90735e-06,15.6945,-12.8135,-0.00755354,1.39228e-08,5.5878e-06,-1.92896e-09,-2.57578e-07,3.30048e-06,
Sun Sep 23 20:13:16 2018,10850765,683.653,1518,1514,1524,1514,1088,1514,0.18779,-7.62939e-06,0.816432,-2.38419e-07,-1.90735e-06,-1.19209e-07,5148,9996,48,18,0,1088,0.023942,0.445322,10.094,-0.00638535,-0.0287341,-0,19.0055,6.13594,-60.7031,10.8508,-1.90735e-06,15.7014,-12.8191,-0.0104987,2.65708e-08,8.00146e-06,-1.66325e-09,-1.77563e-07,2.2762e-06,
Sun Sep 23 20:13:16 2018,10860766,683.653,1518,1514,1524,1514,1088,1514,0.18779,-7.62939e-06,0.816432,-2.38419e-07,-1.90735e-06,-1.19209e-07,5152,9996,72,8,0,1088,0.0335188,0.474052,10.161,0,-0.0297983,0.00744957,19.0055,6.13594,-60.7031,10.8608,-1.90735e-06,15.7134,-12.8289,-0.0139208,4.81166e-08,9.66717e-06,-1.18208e-09,-8.08913e-08,1.03775e-06,
Sun Sep 23 20:13:16 2018,10870767,683.653,1518,1514,1524,1514,1088,1514,0.18779,-7.62939e-06,0.816432,-2.38419e-07,-1.90735e-06,-1.19209e-07,5152,9996,72,8,0,1088,0.234632,0.445322,10.2185,-0.00106422,-0.0351194,0.00744957,19.0055,6.13594,-60.7031,10.8708,-1.90735e-06,15.7301,-12.8425,-0.0178159,-0,2.288e-05,-1.18208e-09,1.47909e-07,-1.89953e-06,
