time(millis),theta_desired,theta_measured,motor_cmd,out_volts,
9601,-0.26,-0.73,30.33,22,
9608,-0.26,-0.72,29.82,21,
9614,-0.26,-0.71,29.13,21,
9620,-0.26,-0.74,30.65,22,
9626,-0.26,-0.71,29.09,21,
9632,-0.26,-0.69,27.65,20,
9638,-0.26,-0.67,26.37,19,
9645,-0.26,-0.62,22.87,16,
9651,-0.26,-0.56,19.35,14,
9657,-0.26,-0.51,16.05,12,
9663,-0.26,-0.48,13.90,9,
9669,-0.26,-0.44,11.41,8,
9675,-0.26,-0.39,8.59,6,
9681,-0.26,-0.35,5.69,3,
9688,-0.26,-0.30,2.61,1,
9694,-0.26,-0.26,-0.07,0,
9700,-0.26,-0.21,-3.11,2,
9706,-0.26,-0.17,-5.47,3,
9712,-0.26,-0.13,-8.13,6,
9718,-0.26,-0.10,-10.37,7,
9724,-0.26,-0.07,-12.11,9,
9731,-0.26,-0.04,-13.76,9,
9737,-0.26,-0.02,-15.01,11,
9743,-0.26,-0.01,-15.91,11,
9749,-0.26,0.01,-17.30,12,
9755,-0.26,0.02,-17.52,12,
9761,-0.26,0.03,-18.12,13,
9767,-0.26,0.03,-18.37,13,
9774,-0.26,0.04,-19.01,14,
9780,-0.26,0.04,-18.89,13,
9786,-0.26,0.03,-18.69,13,
9792,-0.26,0.03,-18.50,13,
9798,-0.26,0.03,-18.47,13,
9804,-0.26,0.03,-18.42,13,
9810,-0.26,0.03,-18.42,13,
9817,-0.26,0.03,-18.47,13,
9823,-0.26,0.03,-18.60,13,
9829,-0.26,0.03,-18.58,13,
9835,-0.26,0.03,-18.52,13,
9841,-0.26,0.03,-18.42,13,
9847,-0.26,0.03,-18.48,13,
9853,-0.26,0.03,-18.61,13,
9860,-0.26,0.03,-18.59,13,
9866,-0.26,0.03,-18.65,13,
9872,-0.26,0.03,-18.70,13,
9878,-0.26,0.03,-18.70,13,
9884,-0.26,0.03,-18.76,13,
9890,-0.26,0.03,-18.61,13,
9896,-0.26,0.03,-18.50,13,
9903,-0.26,0.03,-18.41,13,
9909,-0.26,0.03,-18.20,13,
9915,-0.26,0.02,-17.78,12,
9921,-0.26,0.02,-17.67,12,
9927,-0.26,0.02,-17.66,12,
9933,-0.26,0.02,-17.62,12,
9939,-0.26,0.02,-17.52,12,
9946,-0.26,0.02,-17.56,12,
9952,-0.26,0.02,-17.61,12,
9958,-0.26,0.02,-17.62,12,
9964,-0.26,0.02,-17.73,12,
9970,-0.26,0.02,-17.83,12,
9976,-0.26,0.02,-17.95,12,
9982,-0.26,0.02,-18.05,13,
9989,-0.26,0.02,-18.08,13,
9995,-0.26,0.02,-18.13,13,
10001,-0.26,0.03,-18.21,13,
10007,-0.26,0.03,-18.26,13,
10013,-0.26,0.03,-18.30,13,
10019,-0.26,0.03,-18.15,13,
10025,-0.26,0.02,-17.95,12,
10032,-0.26,0.02,-17.79,12,
10038,-0.26,0.02,-17.73,12,
10044,-0.26,0.02,-17.65,12,
10050,-0.26,0.02,-17.54,12,
10056,-0.26,0.01,-17.40,12,
10062,-0.26,0.01,-17.29,12,
10068,-0.26,0.01,-17.17,12,
10075,-0.26,0.01,-17.22,12,
10081,-0.26,0.01,-17.16,12,
10087,-0.26,0.01,-17.05,12,
10093,-0.26,0.01,-17.06,12,
10099,-0.26,0.01,-17.07,12,
10105,-0.26,0.01,-17.14,12,
10112,-0.26,0.01,-17.13,12,
10118,-0.26,0.01,-17.10,12,
10124,-0.26,0.01,-16.96,12,
10130,-0.26,0.00,-16.83,12,
10136,-0.26,-0.00,-16.26,12,
10142,-0.26,-0.01,-16.00,11,
10148,-0.26,-0.02,-15.17,11,
10155,-0.26,-0.03,-14.36,10,
10161,-0.26,-0.04,-14.06,10,
10167,-0.26,-0.06,-12.77,9,
10173,-0.26,-0.07,-12.02,9,
10179,-0.26,-0.09,-10.70,7,
10185,-0.26,-0.11,-9.63,6,
10191,-0.26,-0.13,-7.99,5,
10198,-0.26,-0.16,-6.48,4,
10204,-0.26,-0.18,-5.34,3,
10210,-0.26,-0.21,-2.99,1,
10216,-0.26,-0.24,-1.47,0,
10222,-0.26,-0.25,-0.25,0,
10228,-0.26,-0.27,0.87,0,
10234,-0.26,-0.29,2.11,1,
10240,-0.26,-0.30,2.82,1,
10246,-0.26,-0.31,3.53,2,
10252,-0.26,-0.32,3.91,2,
10258,-0.26,-0.33,4.35,3,
10264,-0.26,-0.34,4.95,3,
10270,-0.26,-0.34,4.96,3,
10276,-0.26,-0.34,4.96,3,
10283,-0.26,-0.34,5.08,3,
10289,-0.26,-0.33,4.81,3,
10295,-0.26,-0.33,4.49,3,
10301,-0.26,-0.32,4.05,3,
10307,-0.26,-0.32,3.70,2,
10313,-0.26,-0.30,2.85,1,
10319,-0.26,-0.29,1.98,0,
10326,-0.26,-0.28,1.36,0,
10332,-0.26,-0.27,0.58,0,
10338,-0.26,-0.26,0.05,0,
10344,-0.26,-0.25,-0.40,0,
10350,-0.26,-0.25,-0.83,0,
10356,-0.26,-0.24,-1.19,0,
10362,-0.26,-0.24,-1.46,0,
10368,-0.26,-0.24,-1.40,0,
10374,-0.26,-0.24,-1.10,0,
10380,-0.26,-0.25,-0.61,0,
10386,-0.26,-0.26,-0.03,0,
10392,-0.26,-0.27,0.56,0,
10398,-0.26,-0.28,1.17,0,
10404,-0.26,-0.28,1.46,0,
10411,-0.26,-0.28,1.58,0,
10417,-0.26,-0.28,1.67,0,
10423,-0.26,-0.28,1.59,0,
10429,-0.26,-0.28,1.60,0,
10435,-0.26,-0.28,1.27,0,
10441,-0.26,-0.28,1.43,0,
10447,-0.26,-0.28,1.61,0,
10454,-0.26,-0.28,1.71,0,
10460,-0.26,-0.29,1.74,0,
10466,-0.26,-0.29,1.74,0,
10472,-0.26,-0.29,1.76,0,
10478,-0.26,-0.29,1.80,0,
10484,-0.26,-0.29,1.79,0,
10490,-0.26,-0.29,1.82,0,
10496,-0.26,-0.29,1.95,0,
10502,-0.26,-0.29,2.08,1,
10508,-0.26,-0.29,2.07,1,
10514,-0.26,-0.29,2.00,1,
10520,-0.26,-0.29,1.88,0,
10526,-0.26,-0.28,1.65,0,
10532,-0.26,-0.28,1.45,0,
10539,-0.26,-0.28,1.33,0,
10545,-0.26,-0.28,1.30,0,
10551,-0.26,-0.28,1.28,0,
10557,-0.26,-0.28,1.29,0,
10563,-0.26,-0.28,1.26,0,
10569,-0.26,-0.28,1.22,0,
10575,-0.26,-0.28,1.21,0,
10582,-0.26,-0.28,1.26,0,
10588,-0.26,-0.28,1.25,0,
10594,-0.26,-0.28,1.25,0,
10600,-0.26,-0.28,1.17,0,
10606,-0.26,-0.28,1.12,0,
10612,-0.26,-0.27,1.03,0,
10618,-0.26,-0.27,1.01,0,
10624,-0.26,-0.27,0.99,0,
10630,-0.26,-0.27,1.01,0,
10636,-0.26,-0.27,1.04,0,
