today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],YAW_CMD, YAW_MEAS
Sun Feb 18 05:28:22 2018,7011006,0,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0.055,0.5,-1.19209e-07,5024,3990,1196,0,30,14,0.0191536,0.0622492,-10.4339,0.00957802,-0.0159634,0.0180918,-19.5322,41.4516,46.7602,1.64316e-40,0.0180918,
Sun Feb 18 05:28:22 2018,7021007,752.966,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0.055,0.5,-1.19209e-07,4970,3976,1196,0,30,30,0.110133,0.129287,-10.5441,0.0117065,-0.0212845,0.0212845,-19.5322,41.4516,46.7602,0.055,0.0212845,
Sun Feb 18 05:28:22 2018,7031009,752.966,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0.055,0.5,-1.19209e-07,4970,3976,1196,0,30,30,0.0814029,0.105345,-10.4052,0.0138349,-0.0202203,0.0148991,-19.5322,41.4516,46.7602,0.055,0.0148991,
Sun Feb 18 05:28:22 2018,7041010,752.966,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0.055,0.5,-1.19209e-07,4984,3978,1196,0,32,14,0.0143652,0.153229,-10.5249,0.0148991,-0.0159634,0.0180918,-19.5322,41.4516,46.7602,0.055,0.0180918,
Sun Feb 18 05:28:22 2018,7051011,752.966,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0.055,0.5,-1.19209e-07,4984,3978,1196,0,32,14,0.0766145,0.143652,-10.4004,0.0117065,-0.0180918,0.0202203,-19.5322,41.4516,46.7602,0.055,0.0202203,
Sun Feb 18 05:28:22 2018,7061012,752.966,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0.055,0.5,-1.19209e-07,4986,3978,1196,0,30,12,-0.0047884,0.153229,-10.386,0.0170276,-0.019156,0.0117065,-19.5322,41.4516,46.7602,0.055,0.0117065,
Sun Feb 18 05:28:22 2018,7071013,752.87,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0.055,0.5,-1.19209e-07,4986,3978,1196,0,30,12,0.148441,0.167594,-10.3669,0.0148991,-0.0234129,0.0159634,-19.5322,41.4516,46.7602,0.055,0.0159634,
Sun Feb 18 05:28:22 2018,7081014,752.87,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0.055,0.5,-1.19209e-07,4994,3976,1198,0,8,30,0.0383072,0.114922,-10.3956,0.019156,-0.019156,0.0170276,-19.5322,41.4516,46.7602,0.055,0.0170276,
Sun Feb 18 05:28:22 2018,7091015,752.87,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0.055,0.5,-1.19209e-07,4994,3976,1198,0,8,30,0.0287304,0.148441,-10.5105,0.0159634,-0.0127707,0.019156,-19.5322,41.4516,46.7602,0.055,0.019156,
Sun Feb 18 05:28:22 2018,7101016,752.87,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0.055,0.5,-1.19209e-07,4986,3978,1196,0,8,30,0.0287304,0.0861913,-10.3286,0.0127707,-0.0138349,0.0159634,-19.5322,41.4516,46.7602,0.055,0.0159634,
Sun Feb 18 05:28:22 2018,7111017,753.113,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0.055,0.5,-1.19209e-07,4986,3978,1196,0,8,30,0.023942,0.0909797,-10.4483,0.0127707,-0.0170276,0.0148991,-19.5322,41.4516,46.7602,0.055,0.0148991,
Sun Feb 18 05:28:22 2018,7121018,753.113,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0.055,0.5,-1.19209e-07,4994,3976,1198,0,30,12,0.114922,0.105345,-10.3621,0.0138349,-0.0170276,0.0127707,-19.5322,41.4516,46.7602,0.055,0.0127707,
Sun Feb 18 05:28:22 2018,7131019,753.113,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0.055,0.5,-1.19209e-07,4994,3976,1198,0,30,12,0.100556,0.129287,-10.4052,0.0159634,-0.0127707,0.0170276,-19.5322,41.4516,46.7602,0.055,0.0170276,
Sun Feb 18 05:28:22 2018,7141020,753.113,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0.055,0.5,-1.19209e-07,5000,3994,1200,0,28,14,0.0909797,0.162806,-10.3046,0.0159634,-0.0138349,0.0117065,-19.5322,41.4516,46.7602,0.055,0.0117065,
Sun Feb 18 05:28:22 2018,7151021,753.113,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0.055,0.5,-1.19209e-07,5000,3994,1200,0,28,14,0.0622492,0.162806,-10.4818,0.0148991,-0.0170276,0.0159634,-19.5322,41.4516,46.7602,0.055,0.0159634,
Sun Feb 18 05:28:22 2018,7161022,753.113,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0.055,0.5,-1.19209e-07,4992,3980,1196,0,8,32,0.0383072,0.100556,-10.4291,0.0106422,-0.0148991,0.00851379,-19.5322,41.4516,46.7602,0.055,0.00851379,
