today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],YAW_CMD, YAW_MEAS_FILT
Sun Feb 18 06:59:00 2018,8376817,0,1514,1514,1088,1513,1940,1514,-7.62939e-06,7.62939e-06,0.9,-0.000234753,0.5,-1.19209e-07,5036,2836,1008,0,32,32,0.0670376,0.172383,-10.3525,0.0180918,-0.00957802,0.0127707,4.83984,16.65,42.2672,1.64484e-40,0.0127707,
Sun Feb 18 06:59:00 2018,8386818,779.971,1514,1514,1088,1513,1940,1514,-7.62939e-06,7.62939e-06,0.9,-0.000234753,0.5,-1.19209e-07,5014,2838,1006,0,8,30,0.0335188,0.186748,-10.3334,0.0180918,-0.0159634,0.0127707,4.83984,16.65,42.2672,-0.000234753,0.0127707,
Sun Feb 18 06:59:00 2018,8396821,779.971,1514,1514,1088,1513,1940,1514,-7.62939e-06,7.62939e-06,0.9,-0.000234753,0.5,-1.19209e-07,5014,2838,1006,0,8,30,0.0814029,0.167594,-10.4052,0.019156,-0.00851379,0.0127707,4.83984,16.65,42.2672,-0.000234753,0.0127707,
Sun Feb 18 06:59:00 2018,8406822,779.971,1514,1514,1088,1513,1940,1514,-7.62939e-06,7.62939e-06,0.9,-0.000234753,0.5,-1.19209e-07,5024,2834,1002,0,8,32,0.0909797,0.129287,-10.3525,0.0234129,-0.00851379,0.0117065,4.83984,16.65,42.2672,-0.000234753,0.0117065,
Sun Feb 18 06:59:00 2018,8416823,779.971,1514,1514,1088,1513,1940,1514,-7.62939e-06,7.62939e-06,0.9,-0.000234753,0.5,-1.19209e-07,5024,2834,1002,0,8,32,0.0047884,0.129287,-10.3286,0.0170276,-0.0106422,0.0106422,4.83984,16.65,42.2672,-0.000234753,0.0106422,
Sun Feb 18 06:59:00 2018,8426829,779.971,1514,1514,1088,1513,1940,1514,-7.62939e-06,7.62939e-06,0.9,-0.000234753,0.5,-1.19209e-07,5024,2840,1004,0,8,32,0.153229,0.148441,-10.5345,0.0148991,-0.0148991,0.0117065,4.83984,16.65,42.2672,-0.000234753,0.0117065,
Sun Feb 18 06:59:00 2018,8436830,778.85,1514,1514,1088,1513,1940,1514,-7.62939e-06,7.62939e-06,0.9,-0.000234753,0.5,-1.19209e-07,5024,2840,1004,0,8,32,0,0.100556,-10.4052,0.0202203,-0.0117065,0.0127707,4.83984,16.65,42.2672,-0.000234753,0.0127707,
Sun Feb 18 06:59:00 2018,8446831,778.85,1514,1514,1088,1513,1940,1514,-7.62939e-06,7.62939e-06,0.9,-0.000234753,0.5,-1.19209e-07,5024,2840,1004,0,8,32,0.0766145,0.148441,-10.3142,0.0180918,-0.0159634,0.0138349,4.83984,16.65,42.2672,-0.000234753,0.0138349,
Sun Feb 18 06:59:00 2018,8456846,778.85,1514,1514,1088,1513,1940,1514,-7.62939e-06,7.62939e-06,0.9,-0.000234753,0.5,-1.19209e-07,5020,2838,1004,0,32,32,0.100556,0.138864,-10.3286,0.00957802,-0.0223487,0.00957802,4.83984,16.65,42.2672,-0.000234753,0.00957802,
Sun Feb 18 06:59:00 2018,8466847,778.85,1514,1514,1088,1513,1940,1514,-7.62939e-06,7.62939e-06,0.9,-0.000234753,0.5,-1.19209e-07,5026,2838,1006,0,8,30,-0.0430956,0.143652,-10.3621,0.00957802,-0.019156,0.0138349,4.83984,16.65,42.2672,-0.000234753,0.0138349,
Sun Feb 18 06:59:00 2018,8476848,780.197,1514,1514,1088,1513,1940,1514,-7.62939e-06,7.62939e-06,0.9,-0.000234753,0.5,-1.19209e-07,5026,2838,1006,0,8,30,0.0622492,0.162806,-10.3142,0.00638535,-0.0180918,0.0106422,4.83984,16.65,42.2672,-0.000234753,0.0106422,
Sun Feb 18 06:59:00 2018,8486849,780.197,1514,1514,1088,1513,1940,1514,-7.62939e-06,7.62939e-06,0.9,-0.000234753,0.5,-1.19209e-07,5026,2838,1006,0,8,30,0.0430956,0.148441,-10.4291,0.0127707,-0.0170276,0.0106422,4.83984,16.65,42.2672,-0.000234753,0.0106422,
Sun Feb 18 06:59:00 2018,8496850,780.197,1514,1514,1088,1513,1940,1514,-7.62939e-06,7.62939e-06,0.9,-0.000234753,0.5,-1.19209e-07,5020,2840,1006,0,32,14,0.00957681,0.186748,-10.343,0.0170276,-0.019156,0.0127707,4.83984,16.65,42.2672,-0.000234753,0.0127707,
Sun Feb 18 06:59:00 2018,8506853,780.197,1514,1514,1088,1513,1940,1514,-7.62939e-06,7.62939e-06,0.9,-0.000234753,0.5,-1.19209e-07,5028,2840,1002,0,8,32,0.0861913,0.248997,-10.5297,0.00957802,-0.0159634,0.00851379,4.83984,16.65,42.2672,-0.000234753,0.00851379,
Sun Feb 18 06:59:00 2018,8516854,780.197,1514,1514,1088,1513,1940,1514,-7.62939e-06,7.62939e-06,0.9,-0.000234753,0.5,-1.19209e-07,5028,2840,1002,0,8,32,0.0622492,0.0814029,-10.3669,0.0180918,-0.0106422,0.0148991,4.83984,16.65,42.2672,-0.000234753,0.0148991,
Sun Feb 18 06:59:00 2018,8526855,780.197,1514,1514,1088,1513,1940,1514,-7.62939e-06,7.62939e-06,0.9,-0.000234753,0.5,-1.19209e-07,5020,2874,1006,0,8,30,-0.0287304,0.124498,-10.3046,0.0180918,-0.0159634,0.0117065,4.83984,16.65,42.2672,-0.000234753,0.0117065,
