today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],YAW_CMD, YAW_MEAS
Thu Sep 20 21:49:34 2018,10682245,0,1516,1514,1088,1514,1940,1514,0.093895,7.62939e-06,0.9,-2.38419e-07,0.5,-1.19209e-07,5378,5532,1028,0,30,12,-0.603339,0.047884,-9.48104,0.00106422,-0.0404405,-0.0042569,22.95,62.8031,11.1,1.64159e-40,-0.0042569,
Thu Sep 20 21:49:34 2018,10692246,948.226,1516,1514,1088,1514,1940,1514,0.093895,7.62939e-06,0.9,-2.38419e-07,0.5,-1.19209e-07,5378,5532,1028,0,30,12,-0.612916,0.047884,-9.40442,0.00532112,-0.0415047,-0.0042569,22.95,62.8031,11.1,-2.38419e-07,-0.0042569,
Thu Sep 20 21:49:34 2018,10702249,948.226,1516,1514,1088,1514,1940,1514,0.093895,7.62939e-06,0.9,-2.38419e-07,0.5,-1.19209e-07,5372,5516,1028,0,28,10,-0.579397,0.0574608,-9.48583,0.00319267,-0.0372479,-0.0042569,22.95,62.8031,11.1,-2.38419e-07,-0.0042569,
Thu Sep 20 21:49:34 2018,10712250,948.226,1516,1514,1088,1514,1940,1514,0.093895,7.62939e-06,0.9,-2.38419e-07,0.5,-1.19209e-07,5380,5540,1028,0,6,28,-0.59855,0.0287304,-9.65821,0.00957802,-0.0393763,-0.00638535,22.95,62.8031,11.1,-2.38419e-07,-0.00638535,
Thu Sep 20 21:49:34 2018,10722251,948.226,1516,1514,1088,1514,1940,1514,0.093895,7.62939e-06,0.9,-2.38419e-07,0.5,-1.19209e-07,5380,5540,1028,0,6,28,-0.675165,0.0191536,-9.60554,0.0042569,-0.0393763,-0.00532112,22.95,62.8031,11.1,-2.38419e-07,-0.00532112,
Thu Sep 20 21:49:34 2018,10732252,948.226,1516,1514,1088,1514,1940,1514,0.093895,7.62939e-06,0.9,-2.38419e-07,0.5,-1.19209e-07,5380,5540,1028,0,6,28,-0.593762,0.0430956,-9.53371,0.00106422,-0.0340552,-0.00532112,22.95,62.8031,11.1,-2.38419e-07,-0.00532112,
Thu Sep 20 21:49:34 2018,10742253,949.807,1516,1514,1088,1514,1940,1514,0.093895,7.62939e-06,0.9,-2.38419e-07,0.5,-1.19209e-07,5374,5534,1028,0,28,10,-0.641646,-0.0287304,-9.54808,0.00319267,-0.0372479,-0.00532112,22.95,62.8031,11.1,-2.38419e-07,-0.00532112,
Thu Sep 20 21:49:34 2018,10752254,949.807,1516,1514,1088,1514,1940,1514,0.093895,7.62939e-06,0.9,-2.38419e-07,0.5,-1.19209e-07,5374,5534,1028,0,28,10,-0.641646,0.0909797,-9.40921,0.00638535,-0.0372479,-0.00532112,22.95,62.8031,11.1,-2.38419e-07,-0.00532112,
Thu Sep 20 21:49:34 2018,10762255,949.807,1516,1514,1088,1514,1940,1514,0.093895,7.62939e-06,0.9,-2.38419e-07,0.5,-1.19209e-07,5372,5512,1028,0,8,28,-0.612916,0,-9.35654,0.00212845,-0.0404405,-0.00106422,22.95,62.8031,11.1,-2.38419e-07,-0.00106422,
Thu Sep 20 21:49:34 2018,10772256,949.807,1516,1514,1088,1514,1940,1514,0.093895,7.62939e-06,0.9,-2.38419e-07,0.5,-1.19209e-07,5372,5512,1028,0,8,28,-0.488417,0.0670376,-9.53371,0.00319267,-0.0372479,-0.0042569,22.95,62.8031,11.1,-2.38419e-07,-0.0042569,
Thu Sep 20 21:49:34 2018,10782257,949.668,1516,1514,1088,1514,1940,1514,0.093895,7.62939e-06,0.9,-2.38419e-07,0.5,-1.19209e-07,5378,5536,1028,0,8,28,-0.579397,0.023942,-9.42358,0,-0.0404405,0.00106422,23.1293,65.8711,12.6609,-2.38419e-07,0.00106422,
Thu Sep 20 21:49:34 2018,10792258,949.668,1516,1514,1088,1514,1940,1514,0.093895,7.62939e-06,0.9,-2.38419e-07,0.5,-1.19209e-07,5378,5536,1028,0,8,28,-0.54109,0.172383,-9.46188,-0.00106422,-0.0393763,-0.00212845,23.1293,65.8711,12.6609,-2.38419e-07,-0.00212845,
Thu Sep 20 21:49:34 2018,10802259,949.668,1516,1514,1088,1514,1940,1514,0.093895,7.62939e-06,0.9,-2.38419e-07,0.5,-1.19209e-07,5378,5534,1028,0,28,14,-0.627281,0.0622492,-9.54329,0,-0.0383121,-0.00532112,23.1293,65.8711,12.6609,-2.38419e-07,-0.00532112,
Thu Sep 20 21:49:34 2018,10812260,949.668,1516,1514,1088,1514,1940,1514,0.093895,7.62939e-06,0.9,-2.38419e-07,0.5,-1.19209e-07,5378,5534,1028,0,28,14,-0.536301,0.023942,-9.60075,-0.00319267,-0.0340552,-0.00106422,23.1293,65.8711,12.6609,-2.38419e-07,-0.00106422,
Thu Sep 20 21:49:34 2018,10822261,949.668,1516,1514,1088,1514,1940,1514,0.093895,7.62939e-06,0.9,-2.38419e-07,0.5,-1.19209e-07,5368,5526,1028,0,8,28,-0.550666,0.0430956,-9.74919,-0.00212845,-0.0372479,-0.0042569,23.1293,65.8711,12.6609,-2.38419e-07,-0.0042569,
Thu Sep 20 21:49:34 2018,10832262,949.668,1516,1514,1088,1514,1940,1514,0.093895,7.62939e-06,0.9,-2.38419e-07,0.5,-1.19209e-07,5378,5526,1028,2,8,28,-0.656011,0.134075,-9.54329,0.00212845,-0.0340552,-0.0042569,23.1293,65.8711,12.6609,-2.38419e-07,-0.0042569,
Thu Sep 20 21:49:34 2018,10842263,948.443,1516,1514,1088,1514,1940,1514,0.093895,7.62939e-06,0.9,-2.38419e-07,0.5,-1.19209e-07,5378,5526,1028,2,8,28,-0.713472,0.0622492,-9.37569,0.00212845,-0.0383121,-0.00212845,23.1293,65.8711,12.6609,-2.38419e-07,-0.00212845,
Thu Sep 20 21:49:34 2018,10852264,948.443,1516,1514,1088,1514,1940,1514,0.093895,7.62939e-06,0.9,-2.38419e-07,0.5,-1.19209e-07,5378,5526,1028,2,8,28,-0.670376,0.047884,-9.54329,0.00744957,-0.0436332,-0.0042569,23.1293,65.8711,12.6609,-2.38419e-07,-0.0042569,
Thu Sep 20 21:49:34 2018,10862265,948.443,1516,1514,1088,1514,1940,1514,0.093895,7.62939e-06,0.9,-2.38419e-07,0.5,-1.19209e-07,5380,5514,1028,0,30,12,-0.555455,0.105345,-9.37569,0.00851379,-0.042569,-0.00319267,23.1293,65.8711,12.6609,-2.38419e-07,-0.00319267,
