today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],YAW_CMD, YAW_MEAS_FILT
Sun Feb 18 06:22:09 2018,8457913,0,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0,0.5,-1.19209e-07,5020,3502,1132,0,20,32,0.0383072,0,-10.4339,0.0117065,-0.0106422,0.00532112,24.1992,34.6875,43.9313,1.64484e-40,0.00532112,
Sun Feb 18 06:22:09 2018,8467914,778.233,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0,0.5,-1.19209e-07,5020,3502,1132,0,20,32,0.0766145,0.023942,-10.2472,0.00532112,-0.00744957,0.00212845,24.1992,34.6875,43.9313,0,0.00212845,
Sun Feb 18 06:22:09 2018,8477917,778.233,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0,0.5,-1.19209e-07,4990,3486,1130,0,30,14,0.0047884,0.134075,-10.3238,0.00106422,-0.00851379,0.00638535,24.1992,34.6875,43.9313,0,0.00638535,
Sun Feb 18 06:22:09 2018,8487918,778.233,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0,0.5,-1.19209e-07,5006,3504,1130,0,30,30,0.0622492,0.0430956,-10.3334,0.00532112,-0.00744957,0.00744957,22.9893,36.2484,46.4273,0,0.00744957,
Sun Feb 18 06:22:09 2018,8497921,778.233,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0,0.5,-1.19209e-07,5006,3504,1130,0,30,30,0.0047884,0.110133,-10.4291,0.00957802,-0.0106422,0.00851379,22.9893,36.2484,46.4273,0,0.00851379,
Sun Feb 18 06:22:09 2018,8507922,778.233,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0,0.5,-1.19209e-07,5012,3504,1132,0,30,12,0.114922,0.114922,-10.3908,0.0117065,-0.0127707,0.00638535,22.9893,36.2484,46.4273,0,0.00638535,
Sun Feb 18 06:22:09 2018,8517923,778.842,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0,0.5,-1.19209e-07,5012,3504,1132,0,30,12,0.124498,0.0814029,-10.386,0.0202203,-0.00957802,0.00319267,22.9893,36.2484,46.4273,0,0.00319267,
Sun Feb 18 06:22:09 2018,8527924,778.842,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0,0.5,-1.19209e-07,5006,3502,1128,0,20,32,-0.0335188,0.0383072,-10.4004,0.0148991,-0.0117065,0.00638535,22.9893,36.2484,46.4273,0,0.00638535,
Sun Feb 18 06:22:09 2018,8537925,778.842,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0,0.5,-1.19209e-07,5006,3502,1128,0,20,32,0.0383072,0.0143652,-10.3669,0.0159634,-0.0138349,0.00638535,22.9893,36.2484,46.4273,0,0.00638535,
Sun Feb 18 06:22:09 2018,8547926,778.842,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0,0.5,-1.19209e-07,5006,3502,1128,0,20,32,0.0191536,0.0670376,-10.4483,0.0202203,-0.0159634,0.00212845,22.9893,36.2484,46.4273,0,0.00212845,
