today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],YAW_CMD, YAW_MEAS
Wed Oct  2 06:35:46 2019,12452425,0,1513,1516,1088,1513,1940,1514,-0.0469513,-0.093895,0.9,-0.0117378,0.5,-1.19209e-07,5388,5522,1214,0,28,10,0.205901,0.253785,-9.0836,0.0319267,-0.0180918,0.0319267,-22.6219,28.1496,31.6318,1.64417e-40,0.0319267,
Wed Oct  2 06:35:46 2019,12462426,658.785,1513,1516,1088,1513,1940,1514,-0.0469513,-0.093895,0.9,-0.0117378,0.5,-1.19209e-07,5374,5522,1210,0,6,30,0.153229,0.114922,-10.4627,-0.0106422,-0.0319267,0.0415047,-22.6219,28.1496,31.6318,-0.0117378,0.0415047,
Wed Oct  2 06:35:46 2019,12472429,658.785,1513,1516,1088,1513,1940,1514,-0.0469513,-0.093895,0.9,-0.0117378,0.5,-1.19209e-07,5374,5522,1210,0,6,30,0.21069,0.0861913,-10.5058,-0.0297983,-0.0340552,0.0436332,-22.6219,28.1496,31.6318,-0.0117378,0.0436332,
Wed Oct  2 06:35:46 2019,12482430,658.785,1513,1516,1088,1513,1940,1514,-0.0469513,-0.093895,0.9,-0.0117378,0.5,-1.19209e-07,5374,5522,1210,0,6,30,0.105345,0.124498,-9.46667,-0.0297983,-0.0436332,0.032991,-22.6219,28.1496,31.6318,-0.0117378,0.032991,
Wed Oct  2 06:35:46 2019,12492431,658.785,1513,1516,1088,1513,1940,1514,-0.0469513,-0.093895,0.9,-0.0117378,0.5,-1.19209e-07,5372,5514,1212,0,6,28,0.177171,0.244209,-9.67736,-0.0148991,-0.0234129,0.0361836,-22.6219,28.1496,31.6318,-0.0117378,0.0361836,
Wed Oct  2 06:35:46 2019,12502432,658.785,1513,1516,1088,1513,1940,1514,-0.0469513,-0.093895,0.9,-0.0117378,0.5,-1.19209e-07,5374,5516,1210,0,28,10,0.263362,0.253785,-9.36612,0.00851379,-0.019156,0.0266056,-22.6219,28.1496,31.6318,-0.0117378,0.0266056,
Wed Oct  2 06:35:46 2019,12512433,658.568,1513,1516,1088,1513,1940,1514,-0.0469513,-0.093895,0.9,-0.0117378,0.5,-1.19209e-07,5374,5516,1210,0,28,10,0.153229,0.21069,-9.30866,0.0202203,-0.00319267,0.032991,-22.6219,28.1496,31.6318,-0.0117378,0.032991,
Wed Oct  2 06:35:46 2019,12522434,658.568,1513,1516,1088,1513,1940,1514,-0.0469513,-0.093895,0.9,-0.0117378,0.5,-1.19209e-07,5378,5532,1210,0,26,10,0.220267,0.215478,-9.48104,0.0404405,0.00106422,0.0255414,-22.6219,28.1496,31.6318,-0.0117378,0.0255414,
Wed Oct  2 06:35:46 2019,12532435,658.568,1513,1516,1088,1513,1940,1514,-0.0469513,-0.093895,0.9,-0.0117378,0.5,-1.19209e-07,5378,5532,1210,0,26,10,0.124498,0.186748,-9.61033,0.0404405,-0.0042569,0.0276698,-22.6219,28.1496,31.6318,-0.0117378,0.0276698,
Wed Oct  2 06:35:46 2019,12542436,658.568,1513,1516,1088,1513,1940,1514,-0.0469513,-0.093895,0.9,-0.0117378,0.5,-1.19209e-07,5372,5520,1210,0,8,28,0.153229,0.100556,-9.33739,0.0446974,0.00532112,0.0266056,-22.6219,28.1496,31.6318,-0.0117378,0.0266056,
Wed Oct  2 06:35:46 2019,12552437,659.098,1513,1516,1088,1513,1940,1514,-0.0469513,-0.093895,0.9,-0.0117378,0.5,-1.19209e-07,5372,5520,1210,0,8,28,0.263362,0.215478,-9.81144,0.0468259,0.0042569,0.0255414,-22.6219,28.1496,31.6318,-0.0117378,0.0255414,
Wed Oct  2 06:35:46 2019,12562438,659.098,1513,1516,1088,1513,1940,1514,-0.0469513,-0.093895,0.9,-0.0117378,0.5,-1.19209e-07,5372,5520,1210,0,8,28,0.196325,0.110133,-9.46188,0.0383121,-0.00532112,0.0255414,-22.6219,28.1496,31.6318,-0.0117378,0.0255414,
Wed Oct  2 06:35:46 2019,12572439,659.098,1513,1516,1088,1513,1940,1514,-0.0469513,-0.093895,0.9,-0.0117378,0.5,-1.19209e-07,5378,5516,1212,0,8,28,0.277727,0.186748,-9.81144,0.0351194,0.00532112,0.0297983,-22.6219,28.1496,31.6318,-0.0117378,0.0297983,
Wed Oct  2 06:35:46 2019,12582440,659.098,1513,1516,1088,1513,1940,1514,-0.0469513,-0.093895,0.9,-0.0117378,0.5,-1.19209e-07,5374,5512,1210,0,8,28,0.167594,0.110133,-10.1179,0.0308625,-0.0148991,0.0287341,-22.6219,28.1496,31.6318,-0.0117378,0.0287341,
Wed Oct  2 06:35:46 2019,12592441,659.098,1513,1516,1088,1513,1940,1514,-0.0469513,-0.093895,0.9,-0.0117378,0.5,-1.19209e-07,5374,5512,1210,0,8,28,0.23942,0.196325,-8.94474,0.0340552,0,0.0255414,-22.6219,28.1496,31.6318,-0.0117378,0.0255414,
