time,x,y,z,gforce
0.014,0.804,0.058,0.548,0.974
0.015,0.805,0.057,0.545,0.974
0.015,0.807,0.055,0.542,0.973
0.015,0.807,0.053,0.544,0.975
0.015,0.805,0.051,0.544,0.973
0.016,0.802,0.052,0.546,0.972
0.016,0.803,0.053,0.544,0.971
0.016,0.802,0.053,0.545,0.971
0.019,0.800,0.054,0.548,0.971
0.020,0.801,0.052,0.545,0.970
0.022,0.802,0.052,0.546,0.972
0.025,0.802,0.052,0.540,0.968
0.027,0.802,0.052,0.542,0.969
0.033,0.802,0.053,0.546,0.971
0.034,0.800,0.052,0.545,0.970
0.035,0.802,0.051,0.553,0.975
0.037,0.800,0.050,0.553,0.973
0.039,0.800,0.050,0.547,0.971
0.042,0.802,0.053,0.547,0.972
0.044,0.803,0.053,0.543,0.971
0.052,0.805,0.054,0.549,0.976
0.053,0.804,0.053,0.551,0.976
0.053,0.806,0.053,0.552,0.979
0.053,0.807,0.053,0.555,0.981
0.057,0.805,0.054,0.548,0.975
0.058,0.806,0.053,0.544,0.974
0.060,0.806,0.054,0.547,0.976
0.068,0.804,0.054,0.544,0.972
0.069,0.806,0.054,0.549,0.976
0.069,0.804,0.053,0.553,0.977
0.070,0.804,0.053,0.548,0.974
0.073,0.805,0.053,0.550,0.977
0.074,0.804,0.053,0.545,0.973
0.077,0.805,0.053,0.542,0.972
0.083,0.803,0.054,0.545,0.972
0.084,0.801,0.055,0.543,0.969
0.084,0.803,0.055,0.548,0.974
0.087,0.803,0.055,0.549,0.974
0.089,0.802,0.053,0.546,0.972
0.091,0.803,0.054,0.546,0.973
0.094,0.804,0.053,0.543,0.971
0.098,0.804,0.052,0.544,0.972
0.099,0.803,0.052,0.546,0.973
0.101,0.803,0.052,0.547,0.973
0.103,0.804,0.053,0.548,0.974
0.106,0.804,0.053,0.551,0.976
0.108,0.803,0.053,0.547,0.973
0.110,0.804,0.053,0.546,0.973
0.124,0.805,0.053,0.545,0.974
0.126,0.806,0.053,0.545,0.974
0.126,0.806,0.052,0.546,0.975
0.127,0.805,0.052,0.548,0.975
0.127,0.804,0.055,0.547,0.974
0.127,0.803,0.054,0.548,0.974
0.128,0.803,0.052,0.545,0.971
0.140,0.804,0.052,0.545,0.973
0.141,0.804,0.052,0.544,0.972
0.141,0.802,0.052,0.544,0.971
0.142,0.802,0.052,0.546,0.971
0.142,0.803,0.052,0.548,0.973
0.143,0.804,0.053,0.546,0.973
0.143,0.802,0.053,0.544,0.971
0.157,0.803,0.054,0.542,0.970
0.158,0.803,0.054,0.541,0.970
0.159,0.804,0.052,0.542,0.971
0.159,0.805,0.052,0.544,0.973
0.159,0.805,0.053,0.548,0.975
0.160,0.805,0.054,0.548,0.975
0.160,0.805,0.055,0.546,0.974
0.165,0.804,0.055,0.545,0.973
0.166,0.804,0.053,0.544,0.972
0.167,0.806,0.053,0.547,0.976
0.169,0.806,0.052,0.547,0.975
0.171,0.805,0.054,0.548,0.975
0.174,0.803,0.055,0.547,0.973
0.176,0.803,0.055,0.547,0.973
0.182,0.801,0.056,0.546,0.972
0.182,0.803,0.053,0.545,0.972
0.184,0.802,0.052,0.545,0.971
0.186,0.803,0.052,0.543,0.970
0.188,0.803,0.053,0.544,0.971
0.191,0.805,0.053,0.545,0.973
0.193,0.805,0.053,0.546,0.974
0.199,0.804,0.053,0.544,0.972
0.199,0.805,0.053,0.545,0.973
0.200,0.804,0.053,0.543,0.972
0.204,0.805,0.053,0.544,0.973
0.205,0.803,0.054,0.547,0.973
0.207,0.803,0.055,0.544,0.971
0.209,0.804,0.055,0.545,0.973
0.222,0.803,0.054,0.546,0.973
0.222,0.803,0.054,0.544,0.971
0.223,0.804,0.052,0.544,0.972
0.223,0.803,0.052,0.544,0.971
0.223,0.802,0.053,0.542,0.970
0.240,0.803,0.052,0.546,0.973
0.241,0.804,0.052,0.546,0.973
0.241,0.803,0.051,0.546,0.972
0.242,0.803,0.052,0.546,0.972
0.242,0.804,0.052,0.544,0.972
0.244,0.803,0.051,0.543,0.971
0.244,0.801,0.051,0.545,0.970
0.245,0.801,0.051,0.547,0.971
0.245,0.801,0.053,0.548,0.972
0.245,0.802,0.053,0.547,0.972
0.254,0.801,0.052,0.549,0.973
0.255,0.801,0.051,0.547,0.971
0.255,0.801,0.052,0.547,0.971
0.255,0.800,0.051,0.548,0.971
0.256,0.800,0.050,0.549,0.971
0.258,0.800,0.051,0.550,0.972
0.269,0.801,0.051,0.553,0.975
0.269,0.800,0.051,0.551,0.973
0.269,0.801,0.052,0.549,0.973
0.270,0.803,0.053,0.548,0.974
0.270,0.802,0.054,0.548,0.973
0.273,0.803,0.055,0.550,0.975
0.275,0.803,0.056,0.548,0.973
0.279,0.802,0.055,0.550,0.974
0.282,0.803,0.053,0.549,0.974
0.283,0.803,0.053,0.548,0.973
0.284,0.802,0.055,0.549,0.973
0.288,0.801,0.055,0.547,0.972
0.289,0.804,0.054,0.546,0.973
0.292,0.803,0.054,0.548,0.974
0.296,0.804,0.054,0.547,0.974
0.297,0.803,0.053,0.548,0.974
0.299,0.804,0.054,0.548,0.974
0.301,0.804,0.053,0.544,0.972
0.304,0.804,0.051,0.546,0.973
0.306,0.802,0.052,0.544,0.970
0.308,0.804,0.052,0.544,0.973
0.314,0.804,0.052,0.546,0.974
0.315,0.806,0.053,0.547,0.975
0.316,0.805,0.051,0.546,0.974
0.318,0.804,0.052,0.545,0.973
0.320,0.805,0.052,0.543,0.972
0.323,0.804,0.052,0.543,0.972
0.327,0.804,0.052,0.546,0.973
0.331,0.803,0.050,0.546,0.972
0.332,0.803,0.053,0.547,0.974
0.332,0.802,0.054,0.547,0.972
0.335,0.803,0.052,0.545,0.972
0.337,0.805,0.053,0.545,0.974
0.339,0.806,0.055,0.542,0.972
0.341,0.804,0.055,0.545,0.972
0.357,0.802,0.054,0.545,0.971
0.357,0.804,0.054,0.547,0.974
0.358,0.803,0.055,0.548,0.973
0.358,0.804,0.054,0.544,0.972
0.359,0.805,0.055,0.545,0.974
0.359,0.805,0.052,0.543,0.972
0.359,0.804,0.054,0.545,0.972
0.380,0.804,0.053,0.547,0.974
0.382,0.803,0.054,0.549,0.974
0.383,0.803,0.054,0.548,0.973
0.384,0.805,0.054,0.547,0.975
0.385,0.805,0.053,0.545,0.973
0.386,0.803,0.053,0.543,0.971
0.386,0.804,0.053,0.544,0.973
0.387,0.804,0.052,0.547,0.974
0.388,0.804,0.054,0.548,0.975
0.389,0.804,0.055,0.548,0.975
0.390,0.804,0.054,0.550,0.975
0.392,0.804,0.054,0.542,0.971
0.393,0.803,0.054,0.543,0.971
0.393,0.803,0.054,0.541,0.969
0.394,0.804,0.053,0.545,0.972
0.397,0.803,0.053,0.546,0.973
0.399,0.804,0.053,0.546,0.974
0.405,0.803,0.052,0.545,0.972
0.405,0.804,0.051,0.545,0.973
0.406,0.803,0.052,0.544,0.971
0.407,0.804,0.052,0.541,0.971
0.413,0.804,0.051,0.545,0.973
0.418,0.803,0.051,0.545,0.972
0.418,0.804,0.051,0.548,0.975
0.418,0.803,0.052,0.547,0.973
0.419,0.803,0.052,0.546,0.972
0.421,0.804,0.052,0.547,0.974
0.424,0.805,0.051,0.545,0.973
0.426,0.802,0.052,0.546,0.972
